q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fz_foot
-0.072577,-0.463995,0.003697,2.981007,2.434417,-5.480561,0
-0.073404,-0.4721,0.003748,2.978258,2.399685,-5.511927,0
-0.074236,-0.467119,0.003798,2.983495,2.427226,-5.505657,0
-0.075133,-0.451377,0.00384,2.995991,2.508246,-5.469348,0
-0.075975,-0.461372,0.003889,2.992101,2.464427,-5.506151,0
-0.076821,-0.467245,0.003939,2.990289,2.438281,-5.531539,0
-0.077673,-0.467492,0.003989,2.99242,2.440948,-5.54066,0
-0.079149,-0.473568,0.004122,2.992891,2.41998,-5.571256,0
-0.080314,-0.471451,0.004127,2.996438,2.431033,-5.578737,0
-0.081184,-0.469224,0.004176,3.000424,2.446506,-5.581209,0
-0.081998,-0.465663,0.004233,3.004815,2.467225,-5.578745,0
-0.082876,-0.47029,0.004281,3.003978,2.447383,-5.601001,0
-0.083759,-0.483487,0.00433,2.998066,2.387147,-5.648182,0
-0.084645,-0.480712,0.004371,3.000408,2.402482,-5.649635,0
-0.085536,-0.478866,0.004419,3.002682,2.411912,-5.654129,0
-0.086371,-0.477789,0.004475,3.005274,2.419188,-5.659557,0
-0.08727,-0.478284,0.004523,3.006878,2.417934,-5.670728,0
-0.088173,-0.478567,0.00457,3.009038,2.419644,-5.681152,0
-0.089019,-0.483108,0.004619,2.999056,2.390157,-5.705889,0
-0.08993,-0.481881,0.004666,3.0017,2.395732,-5.712709,0
-0.090784,-0.479497,0.004721,3.005307,2.409696,-5.714883,0
-0.091701,-0.480069,0.004767,3.006862,2.408213,-5.726194,0
-0.092562,-0.478101,0.004822,3.01016,2.419829,-5.72974,0
-0.093427,-0.479288,0.004877,3.012398,2.416598,-5.742241,0
-0.094295,-0.478396,0.004931,3.016381,2.424163,-5.748449,0
-0.095167,-0.476629,0.004985,3.020525,2.435735,-5.75214,0
-0.095981,-0.461132,0.005048,3.032612,2.511843,-5.716109,0
-0.096859,-0.462727,0.005102,3.034235,2.50639,-5.730372,0
-0.09768,-0.466954,0.005164,3.03612,2.498653,-5.745297,0
-0.098564,-0.471791,0.005217,3.035638,2.477723,-5.768796,0
-0.099391,-0.46404,0.005279,3.04277,2.51694,-5.755482,0
-0.100161,-0.453265,0.005349,3.051334,2.569635,-5.732745,0
-0.100994,-0.453567,0.00541,3.053083,2.569002,-5.742705,0
-0.10183,-0.456964,0.005471,3.053122,2.553977,-5.761568,0
-0.102668,-0.454612,0.005532,3.056959,2.567664,-5.764125,0
-0.103449,-0.445206,0.005601,3.06435,2.612736,-5.745711,0
-0.104233,-0.436668,0.00567,3.071581,2.654781,-5.729841,0
-0.105019,-0.436518,0.005739,3.073598,2.656632,-5.738084,0
-0.105807,-0.4311,0.005808,3.07887,2.683445,-5.731301,0
-0.106598,-0.429799,0.005876,3.081528,2.690405,-5.73641,0
-0.107391,-0.426118,0.005944,3.085594,2.708484,-5.734788,0
-0.108127,-0.42633,0.00602,3.087516,2.709284,-5.743516,0
-0.108864,-0.425124,0.006096,3.090151,2.716188,-5.74826,0
-0.109604,-0.416605,0.006172,3.097153,2.757556,-5.732159,0
-0.110286,-0.41264,0.006256,3.10104,2.776533,-5.728314,0
-0.110951,-0.408294,0.006432,3.105056,2.79622,-5.721918,0
-0.111998,-0.38399,0.006465,3.121578,2.910237,-5.665329,0
-0.112686,-0.387245,0.006548,3.12278,2.901,-5.682436,0
-0.113376,-0.379576,0.006631,3.129067,2.937934,-5.668341,0
-0.114008,-0.374777,0.006721,3.133949,2.962657,-5.661633,0
-0.114641,-0.36453,0.006812,3.141798,3.012215,-5.639438,0
-0.115216,-0.357814,0.00691,3.147297,3.04428,-5.626496,0
-0.116141,-0.341162,0.007049,3.159712,3.124237,-5.589338,0
-0.116719,-0.341699,0.007147,3.161245,3.12331,-5.597335,0
-0.117298,-0.337931,0.007245,3.165186,3.142305,-5.593117,0
-0.117819,-0.338804,0.007324,3.163206,3.124772,-5.608122,0
-0.118401,-0.330061,0.007395,3.11258,2.882003,-5.737233,0
-0.118924,-0.319222,0.007448,3.119533,2.92914,-5.71476,0
-0.119448,-0.312112,0.007527,3.114123,2.908224,-5.729267,0
-0.119973,-0.316216,0.007605,3.10998,2.873252,-5.755828,0
-0.120499,-0.323567,0.007709,3.137426,2.989175,-5.705343,0
-0.121026,-0.312685,0.007787,3.151407,3.07111,-5.664465,0
-0.121553,-0.308838,0.00789,3.161305,3.11915,-5.646108,0
-0.122491,-0.305347,0.008111,3.183089,3.21971,-5.604097,0
-0.12302,-0.295683,0.008213,3.193091,3.279617,-5.574913,0
-0.12349,-0.290481,0.008297,3.198074,3.306994,-5.564408,0
-0.123961,-0.301007,0.008375,3.138831,2.999901,-5.733343,0
-0.124492,-0.308534,0.008451,3.144729,3.003513,-5.742332,0
-0.124963,-0.293064,0.008534,3.153093,3.067071,-5.70726,0
-0.125435,-0.293862,0.008617,3.15688,3.077626,-5.708155,0
-0.125907,-0.296311,0.008699,3.176254,3.160889,-5.67367,0
-0.126379,-0.296894,0.008807,3.177894,3.161562,-5.678569,0
-0.126911,-0.301425,0.008881,3.180157,3.157331,-5.689858,0
-0.127383,-0.293578,0.008988,3.186769,3.197702,-5.670472,0
-0.127855,-0.300765,0.009069,3.175701,3.123034,-5.717974,0
-0.128327,-0.310445,0.00915,3.162151,3.031126,-5.777104,0
-0.128799,-0.310045,0.00923,3.161967,3.024126,-5.786301,0
-0.129331,-0.301354,0.009303,3.167535,3.060213,-5.770508,0
-0.129802,-0.305941,0.009383,3.164497,3.030436,-5.792901,0
-0.130274,-0.303007,0.009488,3.16237,3.01851,-5.802387,0
