q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fz_foot
-2.00E-06,-0.002966,0,2.818265,1.25096,-0.174118,0
-1.30E-05,-0.008897,0,2.817736,1.29962,-0.639344,0
-3.70E-05,-0.014828,-1.00E-06,2.817202,1.348169,-1.104675,0
-7.30E-05,-0.017794,-1.00E-06,2.816663,1.396605,-1.570093,0
-9.50E-05,-0.023724,-2.00E-06,2.816391,1.442157,-2.03656,0
-0.000148,-0.029653,-1.50E-05,2.798349,1.445097,-2.276796,0
-0.000251,-0.038545,-2.30E-05,2.763889,1.470956,-2.991499,0
-0.010331,-0.217753,8.20E-05,2.830798,2.561911,-4.34932,0
-0.010766,-0.219161,9.00E-05,2.833417,2.570365,-4.354772,0
-0.011211,-0.224948,9.70E-05,2.832997,2.556188,-4.37315,0
-0.011668,-0.227834,0.000104,2.834578,2.556912,-4.383108,0
-0.012136,-0.244363,0.000111,2.826706,2.488343,-4.432532,0
-0.012614,-0.249209,0.000118,2.826923,2.47893,-4.448369,0
-0.013104,-0.258373,0.000124,2.824146,2.447202,-4.476957,0
-0.013664,-0.268143,0.000121,2.820845,2.41166,-4.508176,0
-0.014175,-0.279265,0.000127,2.816577,2.369523,-4.542676,0
-0.014756,-0.288225,0.000123,2.813747,2.337545,-4.571848,0
-0.015349,-0.298255,0.000119,2.810157,2.299632,-4.604474,0
-0.015952,-0.306467,0.000115,2.808514,2.271787,-4.631704,0
-0.016565,-0.310995,0.00011,2.808685,2.261688,-4.648595,0
-0.017189,-0.317975,0.000106,2.80705,2.23853,-4.672937,0
-0.017824,-0.320369,0.000101,2.808536,2.238272,-4.684291,0
-0.018409,-0.323932,0.000105,2.809468,2.233709,-4.697806,0
-0.019064,-0.329304,0.0001,2.80888,2.218146,-4.717945,0
-0.01973,-0.336225,9.40E-05,2.807233,2.194701,-4.742647,0
-0.020406,-0.343672,8.80E-05,2.805213,2.168467,-4.768985,0
-0.021092,-0.346713,8.20E-05,2.806342,2.164955,-4.782549,0
-0.021789,-0.347332,7.60E-05,2.808955,2.172721,-4.789615,0
-0.022495,-0.362372,6.90E-05,2.801707,2.107887,-4.838067,0
-0.023212,-0.362658,6.20E-05,2.804518,2.117024,-4.844443,0
-0.023879,-0.370846,6.50E-05,2.803116,2.092738,-4.869836,0
-0.024616,-0.374407,5.80E-05,2.803767,2.085658,-4.885541,0
-0.025363,-0.381561,5.00E-05,2.801848,2.05985,-4.911956,0
-0.026119,-0.384728,4.30E-05,2.802631,2.053896,-4.927094,0
-0.026886,-0.391547,3.50E-05,2.800911,2.029465,-4.95281,0
-0.027663,-0.391371,2.70E-05,2.803986,2.040159,-4.958645,0
