q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fz_foot
-0.003663,-0.137537,-0.000214,2.782266,2.404427,-4.187208,0
-0.003976,-0.142027,-0.000219,2.791758,2.502131,-4.177332,0
-0.004076,-0.145359,-0.000215,2.797774,2.537876,-4.174678,0
-0.004406,-0.149706,-0.000212,2.801313,2.547132,-4.179588,0
-0.004687,-0.154656,-0.000218,2.803158,2.546619,-4.190176,0
-0.004979,-0.160338,-0.000212,2.80191,2.530421,-4.204194,0
-0.005529,-0.170662,-0.000221,2.801598,2.508989,-4.23169,0
-0.02812,-0.376026,-0.000415,2.799104,2.02337,-4.947882,0
-0.028809,-0.379273,-0.000411,2.800034,2.01836,-4.962048,0
-0.029568,-0.384992,-0.000416,2.800293,2.005546,-4.981397,0
-0.030337,-0.389431,-0.000422,2.800248,1.993164,-5.000223,0
-0.031842,-0.400217,-0.000424,2.799007,1.95966,-5.042725,0
-0.03264,-0.396722,-0.00043,2.804265,1.986489,-5.039234,0
-0.033386,-0.394027,-0.000427,2.809162,2.010479,-5.037172,0
-0.034142,-0.389027,-0.000424,2.815585,2.04579,-5.028644,0
-0.034908,-0.385693,-0.000421,2.820866,2.072604,-5.025008,0
-0.035622,-0.380557,-0.000382,2.830417,2.124014,-5.008033,0
-0.036346,-0.377714,-0.000397,2.830716,2.125137,-5.017526,0
-0.037079,-0.379122,-0.000412,2.800249,1.964531,-5.110937,0
-0.037761,-0.372049,-0.000391,2.792315,1.931245,-5.136379,0
-0.038512,-0.371432,-0.000407,2.813872,2.035717,-5.093609,0
-0.039212,-0.370814,-0.000386,2.817019,2.047775,-5.097748,0
-0.039921,-0.374746,-0.000366,2.823303,2.068206,-5.099087,0
-0.040639,-0.365227,-0.000318,2.862685,2.276805,-5.000031,0
-0.041366,-0.376275,-0.000298,2.857582,2.228325,-5.038846,0
-0.042041,-0.366339,-0.000269,2.867465,2.289422,-5.014686,0
-0.042785,-0.38211,-0.000276,2.854923,2.195632,-5.078493,0
-0.043478,-0.359497,-0.000248,2.873725,2.32166,-5.017732,0
-0.04418,-0.347989,-0.000219,2.88472,2.390541,-4.989471,0
-0.04483,-0.352071,-0.000181,2.885103,2.38136,-5.005265,0
-0.045488,-0.35246,-0.000143,2.888212,2.391611,-5.010334,0
-0.046215,-0.362117,-0.000115,2.885087,2.354928,-5.04302,0
-0.04683,-0.350398,-6.80E-05,2.896437,2.426507,-5.01245,0
-0.047514,-0.35685,-3.10E-05,2.895366,2.405763,-5.035259,0
-0.048206,-0.354495,6.00E-06,2.900106,2.428353,-5.033308,0
-0.048845,-0.349559,5.20E-05,2.906877,2.465554,-5.022851,0
-0.049494,-0.343756,9.70E-05,2.914004,2.506224,-5.009732,0
-0.05015,-0.327822,0.000143,2.92798,2.597431,-4.968072,0
-0.050754,-0.341368,0.000198,2.922384,2.542636,-5.010232,0
-0.051426,-0.333924,0.000243,2.930578,2.590939,-4.993125,0
-0.052046,-0.331958,0.000297,2.935501,2.614052,-4.990576,0
-0.052674,-0.337665,0.000352,2.935111,2.597985,-5.010409,0
-0.053249,-0.346383,0.000415,2.932805,2.567595,-5.03834,0
-0.053892,-0.343014,0.000469,2.938331,2.595946,-5.03247,0
-0.054543,-0.349543,0.000522,2.937335,2.575253,-5.055052,0
-0.055202,-0.335533,0.000575,2.950046,2.656834,-5.018707,0
-0.055808,-0.324711,0.000638,2.960717,2.723186,-4.990976,0
-0.056361,-0.322191,0.000709,2.965557,2.747352,-4.986469,0
-0.056981,-0.310172,0.000765,2.973516,2.815744,-4.95651,0
-0.057884,-0.31322,0.000943,2.9789,2.826383,-4.966926,0
