q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fz_foot
0,0,0,2.818191,1.223442,0.058822,0
-6.00E-06,-0.005895,0,2.817552,1.269774,-0.403735,0
-1.30E-05,-0.011789,-1.00E-06,2.816906,1.315993,-0.866408,0
-5.30E-05,-0.017684,-1.00E-06,2.816255,1.362098,-1.329179,0
-9.40E-05,-0.023578,-3.00E-05,2.812709,1.393506,-1.799527,0
-0.000147,-0.02947,-3.70E-05,2.810018,1.437086,-2.263179,0
-0.000212,-0.035363,-7.20E-05,2.741624,1.272382,-2.826112,0
-0.009195,-0.183333,8.80E-05,2.846839,2.701416,-4.254975,0
-0.009561,-0.186016,0.000103,2.848677,2.70411,-4.263304,0
-0.009937,-0.194762,0.000118,2.846253,2.676161,-4.28916,0
-0.010325,-0.191524,0.000132,2.85193,2.707498,-4.281176,0
-0.010723,-0.200424,0.000147,2.849372,2.678472,-4.307756,0
-0.011133,-0.208409,0.00016,2.847513,2.653998,-4.331815,0
-0.011553,-0.207296,0.000174,2.851684,2.674216,-4.330334,0
-0.011983,-0.204845,0.000187,2.856872,2.701552,-4.324867,0
-0.012365,-0.219689,0.00021,2.85015,2.64249,-4.368284,0
-0.012817,-0.222564,0.000223,2.852455,2.643896,-4.377919,0
-0.013279,-0.231019,0.000235,2.850121,2.616061,-4.404376,0
-0.013692,-0.221093,0.000257,2.860438,2.680998,-4.377063,0
-0.014176,-0.223081,0.000268,2.862484,2.685118,-4.385301,0
-0.01461,-0.229547,0.00029,2.861534,2.667709,-4.405162,0
-0.015055,-0.240569,0.00031,2.857442,2.627196,-4.438504,0
-0.01551,-0.229257,0.000331,2.868595,2.698107,-4.408096,0
-0.015975,-0.233268,0.000351,2.869376,2.692874,-4.421365,0
-0.016451,-0.23979,0.000371,2.868309,2.674355,-4.442256,0
-0.016937,-0.242745,0.000391,2.869662,2.673481,-4.453088,0
-0.017433,-0.239908,0.00041,2.875064,2.701939,-4.44719,0
-0.017879,-0.241726,0.000439,2.877364,2.707783,-4.454043,0
-0.018395,-0.250886,0.000458,2.874392,2.675272,-4.483045,0
-0.018862,-0.25766,0.000486,2.873119,2.655407,-4.504356,0
-0.019398,-0.250422,0.000504,2.881562,2.705596,-4.486436,0
-0.019884,-0.258724,0.000532,2.879375,2.678409,-4.512407,0
-0.020381,-0.255037,0.000559,2.88511,2.709967,-4.504212,0
-0.020887,-0.248322,0.000586,2.893048,2.757086,-4.487507,0
-0.021403,-0.258613,0.000612,2.890655,2.72533,-4.516899,0
-0.021868,-0.261462,0.000648,2.892197,2.725674,-4.526534,0
-0.022404,-0.272015,0.000674,2.88831,2.686089,-4.559648,0
-0.023324,-0.277408,0.000754,2.891483,2.687605,-4.578371,0
-0.024008,-0.277902,0.00076,2.894223,2.695933,-4.585122,0
-0.024522,-0.275898,0.000795,2.899128,2.720088,-4.581896,0
-0.025106,-0.276544,0.000819,2.901856,2.728903,-4.587371,0
-0.025638,-0.286048,0.000853,2.898838,2.695091,-4.617343,0
-0.02618,-0.286687,0.000887,2.901743,2.704963,-4.622096,0
-0.026732,-0.292058,0.00092,2.901431,2.691141,-4.640523,0
-0.027292,-0.291691,0.000953,2.904973,2.705638,-4.642679,0
