q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fz_foot
0,-0.002835,0,2.818231,1.248289,-0.166167,0
-1.30E-05,-0.008504,0,2.817867,1.296134,-0.610797,0
-3.50E-05,-0.014173,-1.00E-06,2.8175,1.343878,-1.055527,0
-6.90E-05,-0.019841,-1.00E-06,2.817129,1.391518,-1.50034,0
-0.000115,-0.025509,-3.50E-05,2.812091,1.424096,-1.952432,0
-0.000171,-0.031176,-4.20E-05,2.76139,1.404239,-2.420916,0
-0.000239,-0.036842,-4.90E-05,2.776039,1.470892,-2.85929,0
-0.014315,-0.28687,-0.000241,2.793892,2.218738,-4.600091,0
-0.014898,-0.293006,-0.00025,2.79284,2.199782,-4.621813,0
-0.015431,-0.298873,-0.000249,2.792241,2.183874,-4.641565,0
-0.016035,-0.304263,-0.000258,2.791784,2.168956,-4.661105,0
-0.016649,-0.30958,-0.000267,2.792037,2.154717,-4.680502,0
-0.017273,-0.314885,-0.000277,2.791582,2.139481,-4.700307,0
-0.017908,-0.320178,-0.000286,2.791153,2.124643,-4.719942,0
-0.018552,-0.325458,-0.000296,2.790605,2.109154,-4.739963,0
-0.019207,-0.330725,-0.000306,2.79017,2.09418,-4.759771,0
-0.019871,-0.333353,-0.000316,2.789617,2.078556,-4.779964,0
-0.020546,-0.341279,-0.000326,2.789022,2.062566,-4.800415,0
-0.021171,-0.346847,-0.000327,2.788522,2.046935,-4.820443,0
-0.021865,-0.35206,-0.000337,2.787964,2.031122,-4.840889,0
-0.02257,-0.357258,-0.000348,2.787401,2.015234,-4.861418,0
-0.023284,-0.362442,-0.000358,2.786951,1.999866,-4.88173,0
-0.024008,-0.367612,-0.000369,2.786383,1.983851,-4.902422,0
-0.024742,-0.372767,-0.00038,2.785813,1.967774,-4.923193,0
-0.025486,-0.377908,-0.000391,2.785241,1.951634,-4.944044,0
-0.026239,-0.383033,-0.000403,2.784782,1.936015,-4.964675,0
-0.026942,-0.38758,-0.000405,2.78475,1.923788,-4.983071,0
-0.027714,-0.392675,-0.000417,2.78417,1.907461,-5.004155,0
-0.028496,-0.397753,-0.000428,2.783588,1.891079,-5.025316,0
-0.029288,-0.402816,-0.00044,2.784163,1.880465,-5.043562,0
-0.030089,-0.407862,-0.000452,2.783576,1.863965,-5.064872,0
-0.030839,-0.411186,-0.000455,2.784287,1.857095,-5.080378,0
-0.032012,-0.406586,-0.000465,2.791607,1.893534,-5.076943,0
-0.032846,-0.412116,-0.000477,2.79067,1.874206,-5.100057,0
-0.033628,-0.410507,-0.000481,2.794621,1.891395,-5.101879,0
-0.03436,-0.405068,-0.000475,2.801235,1.928549,-5.091872,0
-0.035161,-0.402761,-0.000479,2.805596,1.948813,-5.091942,0
-0.035911,-0.410098,-0.000474,2.803734,1.92234,-5.118733,0
-0.03673,-0.403905,-0.000478,2.81064,1.961597,-5.107927,0
-0.037497,-0.409761,-0.000472,2.809734,1.942191,-5.130726,0
-0.038274,-0.402784,-0.000468,2.817308,1.986294,-5.116938,0
-0.03906,-0.408421,-0.000463,2.816501,1.967613,-5.139355,0
-0.039794,-0.402583,-0.000449,2.823386,2.006684,-5.128087,0
-0.040597,-0.403127,-0.000444,2.825986,2.013226,-5.136184,0
-0.041349,-0.391955,-0.000431,2.836459,2.078801,-5.109909,0
-0.042049,-0.380857,-0.000408,2.846904,2.144543,-5.082988,0
-0.042818,-0.380773,-0.000395,2.849928,2.1545,-5.088676,0
-0.043535,-0.372955,-0.000399,2.856013,2.192638,-5.077464,0
-0.044261,-0.380502,-0.000377,2.853689,2.163551,-5.105148,0
-0.044995,-0.379244,-0.000355,2.857511,2.17955,-5.107178,0
-0.045738,-0.377603,-0.000333,2.861681,2.197857,-5.107938,0
-0.046489,-0.38737,-0.000311,2.858414,2.160051,-5.141158,0
-0.047188,-0.383672,-0.00028,2.864102,2.18953,-5.135317,0
-0.047955,-0.386717,-0.000258,2.864967,2.183383,-5.15015,0
