q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fz_foot
0,0,0,2.818726,1.226919,0.05525,0
-6.00E-06,-0.005655,0,2.818508,1.277051,-0.387896,0
-2.30E-05,-0.011309,0,2.818288,1.327088,-0.831147,0
-5.10E-05,-0.016963,0,2.818065,1.377028,-1.274488,0
-9.00E-05,-0.022616,-1.00E-06,2.817841,1.426868,-1.717899,0
-0.000141,-0.028269,-7.00E-06,2.81526,1.473759,-2.162341,0
-0.000204,-0.03392,-1.40E-05,2.778856,1.477612,-2.62149,0
-0.011544,-0.20059,0.00087,2.898979,2.897445,-4.246753,0
-0.011946,-0.208706,0.000901,2.897538,2.873988,-4.270243,0
-0.012359,-0.210731,0.000931,2.899916,2.879913,-4.276739,0
-0.012721,-0.212783,0.00097,2.902461,2.886923,-4.28243,0
-0.013153,-0.215318,0.001001,2.904559,2.890456,-4.290354,0
-0.013596,-0.213506,0.001031,2.909378,2.914875,-4.286274,0
-0.013988,-0.217796,0.00107,2.910435,2.910375,-4.29877,0
-0.01445,-0.212103,0.001099,2.917692,2.953488,-4.283847,0
-0.014862,-0.223939,0.001138,2.913961,2.912005,-4.317902,0
-0.015344,-0.226755,0.001168,2.91569,2.912795,-4.327586,0
-0.015776,-0.248784,0.001206,2.905242,2.820144,-4.391363,0
-0.016277,-0.251024,0.001236,2.907324,2.823499,-4.399666,0
-0.016728,-0.251543,0.001274,2.911768,2.841897,-4.399502,0
-0.017248,-0.25796,0.001303,2.911241,2.824915,-4.419718,0
-0.017718,-0.255015,0.001341,2.91669,2.854228,-4.412574,0
-0.018807,-0.27125,0.001399,2.913353,2.802386,-4.463992,0
-0.019305,-0.264581,0.001437,2.921316,2.850216,-4.446598,0
-0.019813,-0.279248,0.001475,2.915335,2.791962,-4.490363,0
-0.020562,-0.293714,0.001536,2.911407,2.74257,-4.53421,0
-0.021213,-0.28197,0.001555,2.922226,2.812315,-4.504743,0
-0.021814,-0.310791,0.001583,2.907343,2.684189,-4.590463,0
-0.022423,-0.306206,0.001611,2.913678,2.719512,-4.580737,0
-0.023042,-0.313874,0.001639,2.912137,2.694381,-4.60619,0
-0.023669,-0.320981,0.001667,2.910943,2.671861,-4.630167,0
-0.024306,-0.317902,0.001695,2.916262,2.699291,-4.625132,0
-0.024952,-0.331828,0.001723,2.910672,2.642935,-4.668868,0
-0.025606,-0.329432,0.001751,2.915522,2.666691,-4.666037,0
-0.026209,-0.3303,0.001787,2.918458,2.675557,-4.671691,0
-0.026881,-0.341699,0.001815,2.91441,2.631029,-4.708576,0
-0.027502,-0.336991,0.001851,2.920719,2.666342,-4.698527,0
-0.028192,-0.341552,0.001878,2.921174,2.65574,-4.716107,0
-0.02889,-0.346272,0.001905,2.921391,2.643725,-4.734264,0
-0.029536,-0.363939,0.001941,2.913373,2.568709,-4.788602,0
-0.030252,-0.374091,0.001968,2.910208,2.530157,-4.822553,0
-0.030976,-0.374717,0.001995,2.912996,2.537789,-4.829371,0
-0.031708,-0.377849,0.002022,2.914171,2.532966,-4.843478,0
-0.032508,-0.391091,0.00204,2.9087,2.477091,-4.887602,0
-0.033257,-0.395142,0.002066,2.909293,2.467586,-4.904585,0
-0.034014,-0.388884,0.002093,2.916401,2.508355,-4.892199,0
-0.03484,-0.411506,0.00211,2.905049,2.406549,-4.963522,0
-0.035613,-0.406286,0.002136,2.911368,2.441534,-4.954344,0
-0.036395,-0.416385,0.002163,2.908019,2.401628,-4.98911,0
-0.037244,-0.424022,0.00218,2.906165,2.372871,-5.017922,0
-0.038042,-0.422525,0.002206,2.910064,2.389123,-5.019753,0
-0.038847,-0.43436,0.002232,2.90557,2.34026,-5.059846,0
-0.039721,-0.437958,0.002249,2.906111,2.330342,-5.077454,0
-0.040542,-0.445236,0.002274,2.904515,2.303635,-5.104746,0
-0.041431,-0.428215,0.002291,2.918102,2.394368,-5.063601,0
-0.042267,-0.439235,0.002317,2.914102,2.349032,-5.101837,0
-0.043111,-0.439825,0.002342,2.916665,2.354471,-5.110349,0
-0.043962,-0.43245,0.002367,2.924258,2.398731,-5.096194,0
-0.044761,-0.432962,0.002401,2.926859,2.404857,-5.103761,0
-0.045628,-0.442382,0.002427,2.923895,2.367068,-5.137891,0
-0.046502,-0.437221,0.002452,2.930025,2.399986,-5.130417,0
-0.047322,-0.42256,0.002485,2.942336,2.480485,-5.094939,0
-0.048151,-0.430071,0.002519,2.940551,2.452176,-5.123004,0
-0.049648,-0.429647,0.002613,2.946697,2.472197,-5.132442,0
-0.051015,-0.439333,0.00265,2.945015,2.4362,-5.172013,0
-0.051875,-0.442458,0.002683,2.945876,2.428419,-5.188052,0
-0.052682,-0.438308,0.002725,2.951541,2.457456,-5.182456,0
-0.053556,-0.439337,0.002758,2.95368,2.459561,-5.192726,0
-0.054376,-0.43766,0.0028,2.957746,2.476181,-5.194438,0
-0.055203,-0.431806,0.002841,2.964364,2.512793,-5.184313,0
-0.056037,-0.428332,0.002883,2.969461,2.537615,-5.18111,0
-0.056877,-0.431147,0.002924,2.970587,2.531598,-5.196013,0
-0.057664,-0.437392,0.002975,2.969741,2.510006,-5.219911,0
-0.058517,-0.434137,0.003016,2.974578,2.533001,-5.217676,0
-0.059316,-0.444838,0.003066,2.970903,2.489375,-5.254552,0
-0.060182,-0.435994,0.003107,2.979195,2.539228,-5.236553,0
-0.060995,-0.43509,0.003156,2.98275,2.551777,-5.240457,0
-0.061813,-0.435241,0.003206,2.985562,2.558773,-5.247488,0
-0.062637,-0.432295,0.003256,2.990286,2.580651,-5.245775,0
-0.063468,-0.430104,0.003305,2.994514,2.598676,-5.246331,0
-0.064244,-0.439339,0.003363,2.991532,2.561255,-5.278756,0
-0.065086,-0.450566,0.003412,2.987296,2.513507,-5.317917,0
-0.065935,-0.428196,0.003461,3.004281,2.630017,-5.261094,0
-0.067128,-0.432375,0.003547,3.005816,2.620371,-5.282601,0
-0.06799,-0.43959,0.003596,3.004001,2.591481,-5.310671,0
-0.068799,-0.443673,0.003653,3.004387,2.579209,-5.32898,0
-0.069612,-0.444539,0.00371,3.006678,2.582092,-5.338189,0
-0.070431,-0.449707,0.003762,3.004733,2.563117,-5.360101,0
-0.071316,-0.458731,0.00381,3.000747,2.522899,-5.394407,0
-0.072146,-0.461312,0.003867,3.001984,2.517236,-5.408851,0
-0.073822,-0.450506,0.003974,2.999326,2.564949,-5.398007,0
-0.074668,-0.459074,0.00403,2.996821,2.529658,-5.429848,0
-0.075519,-0.457204,0.004087,3.000633,2.544554,-5.431974,0
-0.076375,-0.464028,0.004143,3.002646,2.521454,-5.457697,0
-0.077236,-0.442908,0.004199,3.020859,2.632021,-5.40396,0
-0.078102,-0.453762,0.004255,3.018424,2.586843,-5.442163,0
-0.078912,-0.456667,0.004319,3.020681,2.580745,-5.45698,0
-0.079788,-0.462947,0.004375,3.020172,2.556136,-5.4826,0
-0.080608,-0.459355,0.004433,3.024604,2.578061,-5.479597,0
-0.082141,-0.469206,0.004578,3.023142,2.541041,-5.520629,0
-0.083215,-0.467655,0.004608,3.026548,2.551229,-5.527298,0
-0.084114,-0.471857,0.004663,3.026985,2.537235,-5.547828,0
-0.085016,-0.465078,0.004718,3.033534,2.573802,-5.53702,0
-0.085863,-0.47694,0.004781,3.02891,2.52181,-5.578739,0
-0.086714,-0.470241,0.004844,3.035158,2.55739,-5.567443,0
-0.08763,-0.477807,0.004899,3.033545,2.525842,-5.59782,0
-0.088951,-0.469477,0.004989,3.043089,2.5727,-5.58625,0
-0.089816,-0.470489,0.005052,3.045366,2.572601,-5.597215,0
-0.090685,-0.468461,0.005115,3.049378,2.586603,-5.599575,0
-0.091498,-0.481942,0.005186,3.04376,2.525939,-5.645533,0
-0.092375,-0.474677,0.005248,3.050609,2.564142,-5.633165,0
-0.093256,-0.468463,0.00531,3.056971,2.597537,-5.623862,0
-0.09408,-0.47493,0.005381,3.055779,2.571223,-5.650084,0
