q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fx_foot,Fy_foot,Fz_foot,HR_q,HP_q,KP_q,HR_qdot,HP_qdot,KP_qdot,HR_q_d,HP_q_d,KP_q_d,HR_qdot_d,HP_qdot_d,KP_qdot_d,x,y,z,x_d,y_d,z_d
-0.00063,-0.0476456,-5.2E-05,2.80887,1.88611,-3.88228,0,0,0,0.000180468,1.82345,-1.41292,0.00625624,0.00541405,-0.0176859,0,1.82359,-1.41355,2E-07,0.0224381,-0.0653315,-0.444948,0.100034,-0.187782,-0.444808,0.1,-0.187834
-0.00069,-0.0447661,-5.1E-05,2.81441,1.94723,-3.8705,0,0,0,0.000180468,1.82345,-1.41292,0.00565467,0.00499296,-0.0234007,0,1.82361,-1.41361,2.09E-07,0.0234119,-0.0681668,-0.444948,0.100034,-0.187782,-0.444794,0.1,-0.187833
-0.0007,-0.0396564,-4.2E-05,2.82128,2.0203,-3.85137,0,0,0,0.000180468,1.82345,-1.41298,0.00517343,0.00457186,-0.0313413,0,1.82363,-1.41368,2.17E-07,0.0243825,-0.0709977,-0.444932,0.100034,-0.187791,-0.44478,0.1,-0.187833
-0.00072,-0.0362902,-3.3E-05,2.82675,2.08346,-3.83789,0,0,0,0.000180468,1.82345,-1.41304,0.00475233,0.00427108,-0.0375374,0,1.82366,-1.41376,2.26E-07,0.0253527,-0.0738276,-0.444917,0.100034,-0.1878,-0.444766,0.1,-0.187833
-0.00079,-0.0332277,-3.3E-05,2.83179,2.14381,-3.82644,0,0,0,0.000180468,1.82345,-1.41304,0.0043914,0.0039703,-0.0434327,0,1.82368,-1.41383,2.35E-07,0.0263255,-0.0766604,-0.444917,0.100034,-0.1878,-0.444751,0.1,-0.187833
-0.00081,-0.0405072,-2.3E-05,2.83004,2.15272,-3.84385,0,0,0,0.000180468,1.82345,-1.4131,0.00409062,0.00372968,-0.0389812,0,1.82371,-1.41391,2.43E-07,0.0272948,-0.0794884,-0.444901,0.100034,-0.187809,-0.444735,0.1,-0.187832
-0.00083,-0.0423716,-1.4E-05,2.83174,2.18873,-3.84585,0,0,0,0.000180468,1.82345,-1.41316,0.00384999,0.00348905,-0.0399437,0,1.82374,-1.41399,2.52E-07,0.0282636,-0.0823153,-0.444885,0.100034,-0.187818,-0.444719,0.1,-0.187832
-0.00091,-0.0435175,-1.4E-05,2.83365,2.22656,-3.84721,0,0,0,0.000180468,1.82345,-1.41316,0.00360937,0.00330859,-0.041628,0,1.82377,-1.41407,2.61E-07,0.0292354,-0.0851455,-0.444885,0.100034,-0.187818,-0.444702,0.1,-0.187832
-0.00094,-0.0464627,-5E-06,2.83446,2.25628,-3.85266,0,0,0,0.000180468,1.82345,-1.41322,0.00336874,0.00312812,-0.0415077,0,1.8238,-1.41416,2.69E-07,0.0302033,-0.0879704,-0.444869,0.100034,-0.187827,-0.444685,0.1,-0.187832
-0.00097,-0.0397215,5E-06,2.84148,2.33443,-3.83047,0,0,0,0.000180468,1.82345,-1.41328,0.00318827,0.00294765,-0.0510725,0,1.82383,-1.41425,2.78E-07,0.0311707,-0.090794,-0.444853,0.100034,-0.187836,-0.444667,0.1,-0.187831
-0.001,-0.0475994,-1.2E-05,2.83841,2.33629,-3.85185,0,0,0,0.000180468,1.82351,-1.41334,0.00306796,0.00282734,-0.0460194,0,1.82386,-1.41434,2.87E-07,0.0321408,-0.0936188,-0.444848,0.100034,-0.187819,-0.444649,0.1,-0.187831
-0.00104,-0.055113,-3E-06,2.83594,2.34178,-3.8711,0,0,0,0.000180468,1.82351,-1.4134,0.00288749,0.00276718,-0.0413272,0,1.82389,-1.41444,2.95E-07,0.0331072,-0.0964402,-0.444833,0.100034,-0.187828,-0.44463,0.1,-0.187831
-0.00113,-0.05096,-2E-06,2.84073,2.40395,-3.85843,0,0,0,0.000180468,1.82351,-1.4134,0.00276718,0.00276718,-0.0483054,0,1.82392,-1.41453,3.04E-07,0.0340771,-0.0992654,-0.444833,0.100034,-0.187828,-0.44461,0.1,-0.18783
-0.00118,-0.0606394,-2E-05,2.79823,2.20208,-3.98476,0,0,0,0.000180468,1.82357,-1.41346,0.00264687,0.0226187,-0.0414476,0,1.82396,-1.41464,3.13E-07,0.035046,-0.102087,-0.444828,0.100034,-0.18781,-0.44459,0.1,-0.18783
-0.00122,-0.0649613,-1.1E-05,2.79005,2.18421,-4.01514,0,0,0,0.000180468,1.82357,-1.41352,0.00252656,0.026589,-0.0399437,0,1.82399,-1.41474,3.21E-07,0.0360109,-0.104905,-0.444812,0.100034,-0.187819,-0.44457,0.1,-0.18783
-0.00133,-0.0662213,-3.7E-05,2.78828,2.20361,-4.02601,0,0,0,0.000180468,1.82363,-1.41352,0.00240624,0.0279124,-0.0415077,0,1.82403,-1.41485,3.3E-07,0.0369834,-0.107729,-0.444823,0.100034,-0.187792,-0.444548,0.1,-0.187829
-0.00137,-0.0691566,-2.8E-05,2.78697,2.22342,-4.03661,0,0,0,0.000180468,1.82363,-1.41358,0.00234609,0.0286945,-0.0413874,0,1.82407,-1.41495,3.39E-07,0.0379474,-0.110544,-0.444807,0.100034,-0.187801,-0.444527,0.1,-0.187829
-0.00149,-0.0725782,-2.8E-05,2.79042,2.26562,-4.03644,-0.1,-1.3,0,0.000180468,1.82363,-1.41358,0.00222578,0.0268296,-0.0407858,0,1.82411,-1.41507,3.47E-07,0.0389153,-0.113364,-0.444807,0.100034,-0.187801,-0.444504,0.1,-0.187829
-0.00154,-0.0851996,-4.5E-05,2.79518,2.29942,-4.04283,-0.1,-1.3,0,0.000180468,1.82369,-1.41364,0.00216562,0.0209343,-0.0309804,0,1.82415,-1.41518,3.56E-07,0.0398822,-0.11618,-0.444803,0.100034,-0.187783,-0.444481,0.1,-0.187828
-0.00166,-0.0882572,-4.5E-05,2.79502,2.32398,-4.05161,-0.1,-1.3,0,0.000180468,1.82369,-1.41364,0.00204531,0.0210546,-0.0307398,0,1.82419,-1.4153,3.65E-07,0.0408494,-0.118997,-0.444803,0.100034,-0.187783,-0.444458,0.1,-0.187828
-0.00166,-0.0897378,-2.7E-05,2.80207,2.38848,-4.03842,-0.1,-1.3,0,0.000180468,1.82369,-1.41376,0.001925,0.018107,-0.0320632,0,1.82423,-1.41542,3.73E-07,0.0418062,-0.121801,-0.444771,0.100034,-0.187801,-0.444434,0.1,-0.187828
-0.00178,-0.0925518,-2.6E-05,2.80217,2.41522,-4.04603,-0.1,-1.3,0,0.000180468,1.82369,-1.41376,0.001925,0.018107,-0.0320632,0,1.82427,-1.41554,3.82E-07,0.0427723,-0.124615,-0.444771,0.100034,-0.187801,-0.444409,0.1,-0.187827
-0.00191,-0.0919369,-2.6E-05,2.8129,2.50174,-4.0219,-0.1,-1.3,0,0.000180468,1.82369,-1.41376,0.00186484,0.0137156,-0.0354921,0,1.82431,-1.41567,3.9E-07,0.043738,-0.127429,-0.444771,0.100034,-0.187801,-0.444384,0.1,-0.187827
-0.00198,-0.0934225,-4.2E-05,2.81826,2.55757,-4.01371,-0.1,-1.3,0,0.000180468,1.82375,-1.41382,0.00180468,0.0112492,-0.0368155,0,1.82436,-1.4158,3.99E-07,0.0447025,-0.130238,-0.444767,0.100034,-0.187784,-0.444358,0.1,-0.187826
