q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fz_foot
0,0,0,2.818848,1.229063,0.057149,0
-6E-06,-0.005871,0,2.818507,1.280045,-0.402977,0
-2.4E-05,-0.011742,0,2.818163,1.330924,-0.863213,0
-3.7E-05,-0.017613,-1E-06,2.817815,1.381699,-1.323541,0
-9.4E-05,-0.023483,-7E-06,2.816948,1.431827,-1.784133,0
-0.000147,-0.029352,-4.1E-05,2.803888,1.456179,-2.255855,0
-0.000178,-0.03522,-4.8E-05,2.766006,1.456476,-2.734013,0
-0.014351,-0.250119,0.00022,2.850404,2.573821,-4.441176,0
-0.014822,-0.241521,0.000239,2.859851,2.632568,-4.418099,0
-0.015303,-0.257391,0.000258,2.853868,2.570166,-4.464447,0
-0.015795,-0.261216,0.000277,2.854842,2.565867,-4.477171,0
-0.016297,-0.252573,0.000296,2.864347,2.624794,-4.454067,0
-0.01687,-0.275274,0.000305,2.852673,2.525099,-4.522084,0
-0.017393,-0.278992,0.000324,2.853799,2.521357,-4.534913,0
-0.017926,-0.28877,0.000342,2.85086,2.487251,-4.564904,0
-0.01853,-0.282851,0.000351,2.858279,2.530398,-4.551444,0
-0.019083,-0.300297,0.000369,2.850096,2.45711,-4.60394,0
-0.019707,-0.298016,0.000377,2.85517,2.482321,-4.600847,0
-0.020281,-0.301413,0.000395,2.856444,2.479434,-4.613424,0
-0.020865,-0.30786,0.000413,2.855541,2.460633,-4.634856,0
-0.021519,-0.312026,0.000421,2.856155,2.452555,-4.650903,0
-0.022123,-0.312725,0.000438,2.859305,2.463298,-4.655858,0
-0.022737,-0.323994,0.000455,2.855142,2.419914,-4.691479,0
-0.023361,-0.328748,0.000472,2.855413,2.409366,-4.7086,0
-0.023995,-0.321693,0.000489,2.863536,2.457682,-4.692073,0
-0.024638,-0.325208,0.000506,2.864601,2.453008,-4.705913,0
-0.025291,-0.327382,0.000522,2.867705,2.460744,-4.713038,0
-0.026506,-0.336258,0.000573,2.868796,2.443551,-4.744676,0
-0.027248,-0.344053,0.00058,2.866822,2.415786,-4.772278,0
-0.027939,-0.345369,0.000596,2.869425,2.421902,-4.780491,0
-0.02858,-0.351875,0.000621,2.868481,2.402179,-4.802685,0
-0.02929,-0.351888,0.000637,2.871735,2.413758,-4.807426,0
-0.02995,-0.356309,0.000662,2.872268,2.404609,-4.823924,0
-0.030679,-0.365727,0.000677,2.869242,2.368918,-4.855829,0
-0.031357,-0.361625,0.000702,2.875403,2.401982,-4.848208,0
-0.032044,-0.361052,0.000726,2.87917,2.41714,-4.850812,0
-0.033152,-0.373683,0.000753,2.875676,2.371069,-4.894534,0
-0.033862,-0.368606,0.000777,2.882387,2.408278,-4.884578,0
-0.034581,-0.367477,0.000801,2.886459,2.425612,-4.88605,0
-0.035249,-0.377971,0.000834,2.882861,2.385565,-4.919921,0
-0.035986,-0.363384,0.000857,2.895918,2.470079,-4.883158,0
-0.036732,-0.364777,0.00088,2.898261,2.474319,-4.892231,0
-0.037426,-0.379956,0.000913,2.891659,2.411006,-4.939905,0
-0.038189,-0.38359,0.000936,2.892446,2.403592,-4.955647,0
-0.0389,-0.386391,0.000968,2.894003,2.401634,-4.968174,0
-0.039681,-0.396236,0.000991,2.89065,2.36295,-5.001939,0
-0.04041,-0.40218,0.001023,2.890095,2.345005,-5.023713,0
-0.041207,-0.397541,0.001045,2.896276,2.378113,-5.016301,0
-0.041953,-0.401874,0.001077,2.896584,2.367197,-5.033717,0
-0.042707,-0.396919,0.001108,2.903116,2.402784,-5.024696,0
-0.043469,-0.388631,0.00114,2.911818,2.454748,-5.006271,0
-0.044239,-0.393855,0.001171,2.911604,2.439363,-5.026624,0
-0.044958,-0.391204,0.001211,2.916754,2.46427,-5.023626,0
-0.045684,-0.368435,0.001251,2.934827,2.587827,-4.963196,0
-0.046419,-0.392083,0.001291,2.922823,2.538607,-5.008979,0
-0.047536,-0.381547,0.001351,2.934668,2.551133,-5.013063,0
-0.04823,-0.378391,0.001399,2.939962,2.577895,-5.008241,0
-0.048993,-0.38312,0.001439,2.94027,2.565631,-5.02707,0
-0.049703,-0.372091,0.001487,2.950919,2.632022,-4.999997,0
-0.05036,-0.361305,0.001544,2.961255,2.697034,-4.972791,0
-0.051086,-0.366586,0.001592,2.961306,2.682674,-4.992639,0
-0.051758,-0.363626,0.001649,2.966455,2.708429,-4.988083,0
-0.052439,-0.370565,0.001706,2.965321,2.685774,-5.011983,0
-0.053126,-0.379823,0.001763,2.962659,2.651471,-5.042646,0
-0.054283,-0.368829,0.001912,2.976188,2.729173,-5.016152,0
-0.055233,-0.361653,0.001932,2.984161,2.77352,-5.003958,0
-0.05589,-0.366435,0.001997,2.984544,2.761986,-5.021401,0
-0.056614,-0.36256,0.002053,2.99054,2.792567,-5.015145,0
-0.057285,-0.363135,0.002117,2.99361,2.801439,-5.020808,0
-0.057902,-0.347465,0.002191,3.006992,2.890053,-4.979181,0
-0.058587,-0.356224,0.002255,3.004539,2.85747,-5.008504,0
-0.059219,-0.352828,0.002328,3.010236,2.886371,-5.002262,0
-0.059857,-0.362396,0.002401,3.007447,2.850837,-5.033232,0
-0.060562,-0.355907,0.002465,3.014774,2.892815,-5.019318,0
-0.061214,-0.3665,0.002532,3.008586,2.850118,-5.054202,0
-0.061932,-0.363802,0.002595,3.013807,2.872414,-5.051576,0
-0.062597,-0.366154,0.002661,2.984043,2.832801,-5.075666,0
-0.063268,-0.361497,0.002733,2.994629,2.872064,-5.064621,0
-0.063945,-0.363127,0.002799,3.000542,2.878987,-5.072098,0
-0.064629,-0.368335,0.00287,3.000091,2.863621,-5.091465,0
-0.065259,-0.369988,0.002951,3.009974,2.876212,-5.09674,0
-0.065955,-0.361419,0.003028,3.036106,2.947917,-5.070121,0
-0.066598,-0.355973,0.003108,3.044614,2.988874,-5.057397,0
-0.067246,-0.365353,0.003187,3.041567,2.951882,-5.088233,0
-0.06796,-0.36301,0.003252,3.042267,2.968451,-5.088388,0
-0.069287,-0.355147,0.003404,3.021271,2.98819,-5.08769,0
-0.069958,-0.368434,0.003483,3.027622,2.947059,-5.125433,0
-0.070576,-0.360236,0.003571,3.042638,3.004826,-5.102874,0
-0.071259,-0.365879,0.003649,3.045576,2.990373,-5.122335,0
-0.071948,-0.367401,0.003727,3.049807,2.99455,-5.130703,0
-0.072642,-0.365882,0.003805,3.055707,3.014185,-5.130781,0
-0.073281,-0.37003,0.003865,3.054688,2.991619,-5.153213,0
-0.073926,-0.37605,0.003951,3.054386,2.971371,-5.174455,0
-0.074636,-0.378767,0.004029,3.056048,2.966159,-5.187611,0
-0.075292,-0.373254,0.004088,3.043517,2.904796,-5.226447,0
-0.076012,-0.377892,0.004165,3.045176,2.896226,-5.243052,0
-0.076678,-0.381737,0.004251,3.045724,2.885325,-5.2587,0
-0.077348,-0.379774,0.004336,3.054403,2.924756,-5.24702,0
-0.078084,-0.375833,0.004412,3.063483,2.969306,-5.232163,0
-0.078764,-0.377715,0.004497,3.067773,2.980213,-5.23675,0
-0.07945,-0.380046,0.004581,3.071177,2.985591,-5.244159,0
-0.080473,-0.370898,0.004802,3.084005,3.055341,-5.217063,0
-0.081533,-0.381307,0.004834,3.081279,3.013233,-5.256971,0
-0.082237,-0.383987,0.004917,3.083796,3.0129,-5.268823,0
-0.082945,-0.386033,0.005001,3.085811,3.012201,-5.279266,0
-0.083657,-0.386985,0.005058,3.088219,3.014974,-5.288182,0
-0.084314,-0.382909,0.005149,3.093525,3.041897,-5.281301,0
-0.085035,-0.392878,0.005206,3.047217,2.785595,-5.425679,0
-0.08576,-0.389821,0.005262,3.049891,2.79694,-5.428013,0
-0.08649,-0.404393,0.005344,3.05043,2.766991,-5.458506,0
-0.087163,-0.400988,0.005409,3.066523,2.846822,-5.424264,0
-0.0879,-0.393296,0.005491,3.074111,2.890097,-5.409303,0
-0.088641,-0.393089,0.005572,3.083207,2.92865,-5.398749,0
-0.089326,-0.395251,0.005689,3.094676,2.975027,-5.384283,0
-0.090075,-0.403218,0.00577,3.107846,3.019235,-5.374458,0
-0.090767,-0.406419,0.005859,3.108219,3.008319,-5.389611,0
-0.091523,-0.404814,0.00594,3.111846,3.021329,-5.392353,0
-0.092223,-0.410353,0.006029,3.110747,2.998829,-5.414391,0
-0.092986,-0.400764,0.006083,3.115669,3.031942,-5.404341,0
-0.093692,-0.413814,0.006172,3.108825,2.967797,-5.450061,0
-0.095175,-0.408598,0.006314,3.08409,2.837784,-5.534062,0
-0.095891,-0.404282,0.006402,3.101894,2.926958,-5.494552,0
-0.09661,-0.406729,0.00649,3.108731,2.949229,-5.493037,0
-0.097393,-0.401483,0.006569,3.117936,2.996146,-5.476856,0
-0.098058,-0.401353,0.006665,3.122427,3.011383,-5.477054,0
-0.098786,-0.398825,0.006752,3.12767,3.034472,-5.472842,0
-0.099457,-0.387738,0.006847,3.137915,3.097786,-5.444528,0
-0.100191,-0.393503,0.006934,3.137334,3.076993,-5.466238,0
-0.100867,-0.384633,0.007028,3.145827,3.127173,-5.445562,0
-0.101546,-0.373648,0.007097,3.154375,3.182136,-5.420955,0
-0.102228,-0.391684,0.007165,3.138166,3.061135,-5.500134,0
-0.103195,-0.368574,0.007314,3.131385,3.057996,-5.503664,0
-0.103823,-0.359592,0.00739,3.141336,3.11328,-5.47862,0
-0.104453,-0.362065,0.007466,3.13127,3.051509,-5.519433,0
-0.105085,-0.373827,0.007541,3.134498,3.038757,-5.539989,0
-0.105779,-0.367947,0.007634,3.144085,3.089324,-5.519907,0
-0.106356,-0.353971,0.007717,3.154153,3.157509,-5.486709,0
-0.107094,-0.325349,0.007967,3.16949,3.278089,-5.416371,0
-0.108157,-0.329839,0.007983,3.170879,3.264004,-5.442153,0
-0.108741,-0.324061,0.008091,3.177545,3.299727,-5.430195,0
-0.109267,-0.318832,0.008181,3.179532,3.312979,-5.426903,0
-0.109855,-0.312528,0.008263,3.185158,3.344224,-5.417551,0
-0.110384,-0.315084,0.008378,3.184298,3.328764,-5.433002,0
-0.110915,-0.308187,0.008467,3.181931,3.322888,-5.439616,0
-0.111448,-0.296623,0.008556,3.183488,3.344859,-5.430084,0
-0.111921,-0.297219,0.008627,3.181706,3.328586,-5.44514,0
-0.112396,-0.294025,0.008723,3.178608,3.312411,-5.458768,0
-0.112873,-0.284239,0.00882,3.187099,3.365955,-5.433226,0
-0.11335,-0.275622,0.008915,3.198958,3.434078,-5.40065,0
-0.113769,-0.275409,0.009019,3.203579,3.45175,-5.396397,0
-0.114249,-0.270666,0.009139,3.210379,3.487532,-5.382155,0
-0.11467,-0.26265,0.009216,3.217119,3.529078,-5.363917,0
-0.115092,-0.267661,0.009345,3.204854,3.453727,-5.408874,0
-0.115575,-0.265996,0.009413,3.216836,3.50885,-5.387579,0
-0.115938,-0.25516,0.009523,3.211983,3.499056,-5.392585,0
-0.116363,-0.265268,0.009624,3.203188,3.430721,-5.437897,0
-0.116788,-0.249895,0.009725,3.212895,3.501595,-5.398575,0
-0.117214,-0.256745,0.009825,3.204875,3.442889,-5.437738,0
-0.11758,-0.248506,0.009908,3.215468,3.504111,-5.408831,0
-0.118007,-0.250416,0.010008,3.220376,3.518517,-5.407943,0
-0.118435,-0.250727,0.010107,3.223192,3.524828,-5.411803,0
-0.118986,-0.257095,0.010255,3.224815,3.512677,-5.427484,0
-0.119415,-0.260329,0.010354,3.224525,3.49877,-5.44176,0
-0.119844,-0.255288,0.010452,3.235806,3.556805,-5.416314,0
-0.120212,-0.248879,0.010583,3.237407,3.571515,-5.408642,0
-0.120641,-0.258569,0.010681,3.236652,3.543456,-5.432646,0
-0.12107,-0.265217,0.010778,3.238437,3.532592,-5.448331,0
-0.121439,-0.260359,0.010883,3.246338,3.57505,-5.428026,0
-0.121868,-0.254908,0.010979,3.253239,3.612294,-5.412521,0
-0.122297,-0.270091,0.011101,3.24993,3.560481,-5.452537,0
-0.122665,-0.251088,0.011229,3.269143,3.685284,-5.382587,0
-0.123094,-0.262923,0.011325,3.266578,3.643951,-5.414466,0
-0.123522,-0.265853,0.011445,3.266643,3.631778,-5.427869,0
-0.12395,-0.260088,0.011565,3.277946,3.691631,-5.399349,0
-0.124377,-0.252004,0.011685,3.288824,3.75379,-5.368391,0
-0.124445,-0.274146,0.011935,3.280417,3.667948,-5.41882,0
-0.125413,-0.253733,0.011986,3.295456,3.767842,-5.371507,0
-0.125838,-0.255278,0.012104,3.299388,3.775145,-5.378267,0
-0.126263,-0.269182,0.012222,3.294144,3.715867,-5.421135,0
-0.126626,-0.246436,0.012347,3.307881,3.821012,-5.358582,0
-0.127049,-0.246559,0.012464,3.309436,3.821718,-5.362901,0
-0.127411,-0.239448,0.012588,3.315119,3.85665,-5.345995,0
-0.127772,-0.236695,0.012712,3.318286,3.871018,-5.341578,0
-0.128132,-0.229339,0.012835,3.323737,3.905486,-5.324287,0
-0.128491,-0.197948,0.012958,3.341751,4.048118,-5.23826,0
-0.128849,-0.228004,0.013081,3.327404,3.913087,-5.328325,0
-0.129145,-0.225561,0.013211,3.330335,3.92592,-5.324594,0
-0.1295,-0.202976,0.013332,3.343274,4.026928,-5.264091,0
