q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fx_foot,Fy_foot,Fz_foot,HR_q,HP_q,KP_q,HR_qdot,HP_qdot,KP_qdot,HR_q_d,HP_q_d,KP_q_d,HR_qdot_d,HP_qdot_d,KP_qdot_d,x,y,z,x_d,y_d,z_d
0.28219,0.3257,-0.018357,2.43033,1.35216,9.171,0,-2.6,32.5,0.00409062,1.82335,-1.30404,-0.00577499,-0.932299,2.18439,0.00060294,1.67618,-1.02185,-0.010496,-0.869092,2.51009,-0.472737,0.100695,-0.169614,-0.512252,0.100113,-0.187971
0.28538,0.3073,-0.018324,2.49843,1.59429,9.14037,0.9,-4.7,50.7,0.00409062,1.82335,-1.30404,-0.00577499,-0.932299,2.18439,0.000592865,1.67495,-1.01866,-0.0104191,-0.862722,2.49169,-0.472737,0.100695,-0.169614,-0.51272,0.100111,-0.187938
0.28639,0.37877,-0.018255,2.47109,1.61933,9.24175,0.9,-4.7,50.7,0.00415077,1.82245,-1.30188,-0.00415077,-0.909681,2.09855,0.00058286,1.67372,-1.01549,-0.0103275,-0.858808,2.47732,-0.473116,0.100705,-0.16965,-0.513186,0.10011,-0.187905
0.28756,0.47199,-0.018148,2.48794,1.83322,9.31319,0.9,-4.7,77.3,0.00415077,1.82155,-1.29989,0.00144375,-0.872264,1.99039,0.000572927,1.67249,-1.01233,-0.0102454,-0.854516,2.46238,-0.473451,0.100705,-0.169724,-0.513647,0.100108,-0.187872
0.28872,0.54005,-0.018099,2.47802,1.87053,9.32156,-1.7,-1.8,77.3,0.00415077,1.82076,-1.29791,0.00120312,-0.83617,1.90737,0.000563065,1.67127,-1.00919,-0.0101664,-0.850328,2.44742,-0.473806,0.100705,-0.169741,-0.514105,0.100106,-0.18784
0.29005,0.6161,-0.018024,2.46528,1.94319,9.33919,-1.7,-1.8,77.3,0.00421093,1.81998,-1.2961,0.00884295,-0.79779,1.81581,0.000553275,1.67005,-1.00605,-0.0100737,-0.845773,2.43191,-0.474116,0.100716,-0.169783,-0.51456,0.100104,-0.187807
0.29137,0.66289,-0.017972,2.363,1.52616,9.11553,-1.7,-1.8,98.5,0.00421093,1.81926,-1.2943,0.021957,-0.731739,1.75343,0.000543558,1.66883,-1.00293,-0.00999385,-0.841236,2.41632,-0.474435,0.100716,-0.169803,-0.515011,0.100102,-0.187775
0.29278,0.74716,-0.017905,2.36823,1.67159,9.17117,2.5,2.8,98.5,0.00427108,1.81854,-1.29261,0.0229796,-0.695044,1.65315,0.000533914,1.66762,-0.99983,-0.00990118,-0.836439,2.40031,-0.474725,0.100726,-0.169838,-0.515459,0.1001,-0.187743
0.294251,0.8278,-0.01785,2.35924,1.75548,9.20109,2.5,2.8,98.5,0.00427108,1.81788,-1.29099,0.0292359,-0.656423,1.5563,0.000524344,1.66641,-0.996739,-0.00982047,-0.83156,2.3841,-0.475011,0.100726,-0.169862,-0.515903,0.100098,-0.187712
0.295816,0.90063,-0.017809,2.32568,1.6756,9.14261,2.5,2.8,111.9,0.00433124,1.81727,-1.28948,0.0291757,-0.604689,1.46691,0.000514847,1.66521,-0.993664,-0.0097288,-0.826505,2.36754,-0.475276,0.100737,-0.169872,-0.516343,0.100097,-0.187681
0.297497,0.98299,-0.017769,2.30871,1.69309,9.13539,1.9,5.9,111.9,0.00433124,1.81673,-1.2881,0.0297171,-0.557226,1.36765,0.000505425,1.66401,-0.990603,-0.00964827,-0.821271,2.35064,-0.475523,0.100737,-0.169881,-0.51678,0.100095,-0.18765
0.299223,1.04246,-0.017725,2.2764,1.62693,9.08592,1.9,5.9,111.9,0.0043914,1.81619,-1.28678,0.0347101,-0.514395,1.29101,0.000496078,1.66281,-0.987557,-0.00955594,-0.815886,2.33347,-0.475754,0.100747,-0.169894,-0.517213,0.100093,-0.187619
0.301043,1.12115,-0.01771,2.2848,1.78078,9.14999,1.9,5.9,129.8,0.0043914,1.81577,-1.28557,0.036996,-0.482091,1.19488,0.000486806,1.66162,-0.984527,-0.00947616,-0.810404,2.31603,-0.475976,0.100747,-0.169878,-0.517643,0.100091,-0.187588
0.302978,1.19018,-0.017652,2.27761,1.83943,9.16176,0.5,6.6,129.8,0.00445155,1.81529,-1.28449,0.0374171,-0.444012,1.10796,0.00047761,1.66044,-0.981512,-0.00938258,-0.804601,2.29814,-0.476159,0.100757,-0.169906,-0.518069,0.10009,-0.187558
0.304957,1.285549,-0.017641,2.28314,2.00512,9.23509,0.5,6.6,129.8,0.00451171,1.81493,-1.28347,0.0400038,-0.404309,0.994561,0.000468491,1.65926,-0.978513,-0.00929138,-0.798803,2.28011,-0.476347,0.100768,-0.169887,-0.518491,0.100088,-0.187528
0.307039,1.339146,-0.017602,2.27094,2.01803,9.22432,0.5,6.6,131.4,0.00451171,1.81457,-1.28257,0.0414476,-0.370201,0.922554,0.000459447,1.65808,-0.975531,-0.00920928,-0.792762,2.2617,-0.476506,0.100768,-0.169896,-0.51891,0.100086,-0.187498
0.309215,1.376903,-0.017548,2.25096,1.94641,9.16997,-3.1,8.7,131.4,0.00457186,1.81421,-1.28178,0.0384398,-0.33525,0.866007,0.000450481,1.65691,-0.972565,-0.00911531,-0.786488,2.24291,-0.476635,0.100778,-0.169921,-0.519324,0.100084,-0.187469
0.311505,1.524255,-0.017495,2.3079,2.43825,9.41059,-3.1,8.7,131.4,0.00457186,1.81391,-1.28112,0.0367554,-0.29687,0.699555,0.000441593,1.65574,-0.969615,-0.00903182,-0.780054,2.22381,-0.476745,0.100778,-0.169945,-0.519736,0.100083,-0.18744
0.313837,1.59576,-0.01746,2.35693,2.72531,9.49799,-3.1,8.7,138.8,0.00457186,1.81367,-1.28052,0.023882,-0.276357,0.60878,0.000432782,1.65458,-0.966683,-0.00894895,-0.773558,2.20454,-0.476851,0.100778,-0.169951,-0.520143,0.100081,-0.187411
0.316212,1.672019,-0.017414,2.36083,2.81377,9.39235,-7.2,6.9,138.8,0.00457186,1.81342,-1.27998,0.0168437,-0.235631,0.513011,0.00042405,1.65342,-0.963768,-0.00886516,-0.766928,2.18503,-0.476942,0.100778,-0.169968,-0.520547,0.100079,-0.187382
0.318689,1.75279,-0.01737,2.39391,3.0676,9.28136,-7.2,6.9,138.8,0.00451171,1.81324,-1.27956,0.0116101,-0.2082,0.41243,0.000415396,1.65227,-0.960871,-0.00879138,-0.760145,2.16522,-0.477013,0.100768,-0.169984,-0.520947,0.100078,-0.187354
0.321268,1.812818,-0.01731,2.37292,2.97529,9.19284,-7.2,6.9,129.7,0.00451171,1.81306,-1.27926,-0.00168437,-0.157188,0.332242,0.000406822,1.65113,-0.957992,-0.00870607,-0.753146,2.14506,-0.477056,0.100768,-0.170015,-0.521343,0.100076,-0.187325
0.323889,1.864394,-0.017269,2.38432,3.10726,9.11348,-9.4,6.6,129.7,0.00451171,1.81294,-1.27902,-0.00126328,-0.134268,0.260356,0.000398327,1.64999,-0.955131,-0.00862135,-0.746095,2.12475,-0.477094,0.100768,-0.170029,-0.521735,0.100075,-0.187298
0.326552,1.911831,-0.017239,2.38037,3.03828,9.03849,-9.4,6.6,129.7,0.00445155,1.81288,-1.27884,-0.0232804,-0.0905349,0.192439,0.000389913,1.64886,-0.952288,-0.00854689,-0.738988,2.10427,-0.477128,0.100758,-0.170031,-0.522124,0.100073,-0.18727
0.329256,1.957312,-0.017233,2.37763,3.0713,8.96554,-9.4,6.6,123.8,0.00445155,1.81288,-1.27872,-0.0265288,-0.0610585,0.126328,0.000381578,1.64773,-0.949464,-0.00846318,-0.731832,2.08364,-0.477157,0.100758,-0.17001,-0.522508,0.100071,-0.187243
0.332001,1.984116,-0.017189,2.36691,3.05914,8.91287,-15.5,4.1,123.8,0.00445155,1.81282,-1.27866,-0.0245437,-0.0372968,0.078624,0.000373325,1.64661,-0.946659,-0.00837717,-0.724489,2.06274,-0.477162,0.100758,-0.170027,-0.522889,0.10007,-0.187216
0.334786,1.9880908,-0.01719,2.36115,3.06904,8.88518,-15.5,4.1,123.8,0.00445155,1.81288,-1.27866,-0.0177461,-0.0287546,0.0536592,0.000365153,1.6455,-0.943874,-0.00829311,-0.717166,2.04175,-0.477172,0.100758,-0.169999,-0.523266,0.100068,-0.187189
0.337552,1.9934393,-0.017192,2.25884,2.55863,8.85597,-15.5,4.1,111.8,0.00445155,1.81294,-1.27866,-0.0135953,0.0294163,0.0272507,0.000357062,1.6444,-0.941108,-0.0082087,-0.709813,2.02069,-0.477182,0.100758,-0.16997,-0.523639,0.100067,-0.187162
0.340417,2.0580624,-0.017202,2.18508,2.27533,8.76131,-18.6,2.3,111.8,0.00445155,1.81306,-1.27878,-0.0110687,0.0972123,-0.0587124,0.000349054,1.6433,-0.938363,-0.00812426,-0.702329,1.99935,-0.477173,0.100757,-0.169934,-0.524009,0.100065,-0.187136
0.343323,2.115888,-0.0172,2.18881,2.38418,8.67385,-18.6,2.3,111.8,0.00445155,1.81318,-1.27896,-0.00938435,0.125425,-0.138058,0.000341127,1.6422,-0.935637,-0.00803895,-0.694735,1.97783,-0.47715,0.100757,-0.16991,-0.524374,0.100064,-0.18711
0.346148,2.111061,-0.017245,2.15572,2.25009,8.65549,-18.6,2.3,101.3,0.00451171,1.81336,-1.27908,0.00114297,0.141848,-0.154661,0.000333284,1.64112,-0.932932,-0.00794613,-0.687265,1.9564,-0.477151,0.100767,-0.169839,-0.524735,0.100062,-0.187084
0.349011,2.125605,-0.017251,2.07825,2.0886,8.61542,-19,3.3,101.3,0.00457186,1.81348,-1.27926,0.0455382,0.164888,-0.190875,0.000325524,1.64004,-0.930249,-0.00785129,-0.679622,1.93473,-0.477128,0.100777,-0.169808,-0.525093,0.100061,-0.187059
0.351914,2.109039,-0.017309,2.00251,1.78342,8.60976,-19,3.3,101.3,0.00469218,1.81373,-1.2795,0.0717662,0.188228,-0.196049,0.000317847,1.63897,-0.927586,-0.00774961,-0.672003,1.91299,-0.47711,0.100797,-0.169725,-0.525446,0.100059,-0.187034
0.354795,2.113758,-0.017332,2.02072,1.89128,8.5802,-19,3.3,89.4,0.00475233,1.81391,-1.27974,0.0702623,0.189853,-0.222638,0.000310254,1.6379,-0.924945,-0.00765537,-0.664295,1.89112,-0.477082,0.100807,-0.169677,-0.525796,0.100058,-0.187009
0.357655,2.111609,-0.017357,2.04128,1.99866,8.55826,-18.6,4.3,89.4,0.00481249,1.81409,-1.27998,0.0717662,0.187386,-0.242429,0.000302746,1.63685,-0.922325,-0.00756098,-0.656563,1.86918,-0.477054,0.100817,-0.169628,-0.526141,0.100057,-0.186985
0.360492,2.107165,-0.017381,2.08302,2.18773,8.53872,-18.6,4.3,89.4,0.00487264,1.81427,-1.28022,0.0673748,0.17728,-0.259995,0.000295322,1.6358,-0.919728,-0.00746645,-0.648808,1.84717,-0.477026,0.100827,-0.169579,-0.526483,0.100055,-0.18696
0.363307,2.109358,-0.017377,2.1378,2.47725,8.51168,-18.6,4.3,85,0.0049328,1.81439,-1.28046,0.066653,0.160857,-0.284298,0.000287983,1.63476,-0.917153,-0.00737053,-0.64097,1.82506,-0.476988,0.100838,-0.169559,-0.526821,0.100054,-0.186936
0.366159,2.087429,-0.017363,2.17068,2.66377,8.51107,-16.9,5.8,85,0.00499296,1.81451,-1.28076,0.0756162,0.140043,-0.284659,0.000280729,1.63373,-0.914601,-0.00727405,-0.633036,1.80277,-0.476935,0.100848,-0.16955,-0.527154,0.100052,-0.186913
0.368988,2.079456,-0.017348,2.21285,2.82417,8.49503,-16.9,5.8,85,0.00505311,1.81463,-1.28106,0.0659913,0.132404,-0.299036,0.000273561,1.63271,-0.912072,-0.00717747,-0.625083,1.78042,-0.476883,0.100858,-0.169541,-0.527484,0.100051,-0.186889
0.371794,2.059512,-0.017334,2.29164,3.21142,8.49206,-16.9,5.8,79.1,0.00511327,1.81475,-1.28136,0.0665327,0.0955279,-0.301502,0.000266479,1.63169,-0.909566,-0.00708081,-0.617112,1.75801,-0.47683,0.100868,-0.169532,-0.527809,0.10005,-0.186866
0.374636,2.071973,-0.01728,2.37787,3.62471,8.45322,-16.9,5.8,79.1,0.00517343,1.81481,-1.28172,0.0541405,0.0756764,-0.336573,0.000259484,1.63068,-0.907084,-0.00698245,-0.608992,1.7354,-0.476752,0.100879,-0.169563,-0.528131,0.100048,-0.186843
0.377704,2.024049,-0.017213,2.41358,3.6923,8.48041,-16.9,5.8,79.1,0.00523358,1.81493,-1.28233,0.0432522,0.0573288,-0.311669,0.000252575,1.62969,-0.904626,-0.00688346,-0.600627,1.71238,-0.476626,0.100889,-0.169608,-0.528448,0.100047,-0.186821
