q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fz_foot
-0.062073,-0.381201,0.002085,2.970084,2.604719,-5.195426,0
-0.062773,-0.378426,0.00214,2.974668,2.626326,-5.193093,0
-0.06348,-0.376225,0.002195,2.978858,2.644946,-5.192516,0
-0.064193,-0.382837,0.002249,2.977383,2.620536,-5.217271,0
-0.064911,-0.389119,0.002304,2.976424,2.598836,-5.241214,0
-0.065576,-0.381079,0.002367,2.984165,2.645334,-5.223353,0
-0.066307,-0.385257,0.002421,2.984098,2.631885,-5.24149,0
-0.066983,-0.389069,0.002484,2.984548,2.621734,-5.257782,0
-0.067725,-0.387833,0.002538,2.987884,2.634187,-5.260664,0
-0.068413,-0.386713,0.0026,2.991426,2.647588,-5.263076,0
-0.069167,-0.386019,0.002653,2.994363,2.657016,-5.267735,0
-0.069866,-0.396388,0.002715,2.990562,2.614389,-5.303245,0
-0.07057,-0.385371,0.002776,3.000218,2.674796,-5.277685,0
-0.07128,-0.392069,0.002838,2.998615,2.649245,-5.302917,0
-0.071996,-0.394947,0.002899,2.999412,2.642009,-5.317333,0
-0.072776,-0.39332,0.002951,3.003169,2.656422,-5.319896,1.5
-0.073442,-0.39989,0.00302,3.001542,2.631289,-5.344173,1.5
-0.074233,-0.394351,0.003072,3.007267,2.662449,-5.335744,1.5
-0.074969,-0.405889,0.003132,3.002607,2.613047,-5.375377,1.5
-0.07571,-0.411862,0.003192,3.001347,2.590002,-5.399193,1.5
-0.076456,-0.409081,0.003252,3.005571,2.609011,-5.398074,1.5
-0.077207,-0.403743,0.003305,3.009155,2.637337,-5.390678,1.5
-0.077963,-0.412751,0.003365,3.005713,2.599274,-5.423457,1.5
-0.078723,-0.415531,0.003424,3.006369,2.59093,-5.438563,0
-0.079488,-0.415693,0.003482,3.008549,2.594901,-5.446322,0
-0.080671,-0.421345,0.003652,3.00882,2.576436,-5.47183,0
-0.081751,-0.427801,0.003666,3.007735,2.549541,-5.502393,0
-0.082534,-0.433672,0.003724,3.006719,2.527148,-5.526914,0
-0.083322,-0.432833,0.003782,3.009499,2.535163,-5.532283,0
-0.084114,-0.435753,0.00384,3.01001,2.525073,-5.548465,0
-0.08491,-0.431723,0.003897,3.014722,2.548039,-5.544901,0
-0.091361,-0.433838,0.004356,3.030304,2.561511,-5.617234,1.5
-0.092906,-0.438619,0.004484,3.031178,2.543278,-5.646881,1.5
-0.094887,-0.433139,0.004638,3.040064,2.576902,-5.652065,1.5
-0.095673,-0.425142,0.004701,3.04695,2.617227,-5.637519,1.5
-0.096402,-0.425313,0.004773,3.048528,2.618064,-5.645564,1.5
-0.097194,-0.415746,0.004835,3.056186,2.664994,-5.626696,1.5
-0.098668,-0.428796,0.004977,3.052488,2.608551,-5.6795,1.5
-0.09947,-0.428273,0.005039,3.054472,2.611851,-5.686799,1.5
-0.100214,-0.429301,0.005109,3.055916,2.6095,-5.697708,1.5
-0.100961,-0.409422,0.005179,3.069975,2.705838,-5.648846,1.5
-0.101651,-0.406732,0.005257,3.073274,2.719916,-5.648386,1.5
-0.102403,-0.412111,0.005327,3.072141,2.697192,-5.672039,1.5
-0.103098,-0.407008,0.005404,3.076839,2.722332,-5.664839,0
-0.103856,-0.398365,0.005473,3.084294,2.76588,-5.648463,0
-0.104556,-0.399933,0.005551,3.085371,2.760865,-5.660528,0
-0.105258,-0.397557,0.005628,3.088581,2.773761,-5.66142,0
-0.105903,-0.390233,0.005713,3.094574,2.809459,-5.647306,0
-0.10661,-0.379789,0.005789,3.102602,2.859752,-5.625194,0
-0.107259,-0.372578,0.005874,3.10883,2.896236,-5.611617,0
-0.107911,-0.376823,0.005958,3.108166,2.878173,-5.630848,0
-0.108564,-0.369304,0.006042,3.114575,2.915453,-5.616462,0
-0.109335,-0.351438,0.006285,3.126519,2.997902,-5.571897,1.5
-0.110416,-0.345497,0.00631,3.133182,3.029488,-5.568527,1.5
-0.111017,-0.33395,0.006401,3.143014,3.089989,-5.542092,1.5
-0.111559,-0.347052,0.0065,3.136767,3.029526,-5.585336,1.5
-0.112164,-0.334355,0.006591,3.145763,3.089918,-5.555763,1.5
-0.112983,-0.320773,0.006713,3.154686,3.147075,-5.532008,1.5
-0.113531,-0.329151,0.006785,3.139598,3.043989,-5.596281,1.5
-0.114081,-0.315811,0.006883,3.119923,2.964176,-5.637433,1.5
-0.114572,-0.305912,0.006963,3.125083,3.001528,-5.619055,1.5
-0.115124,-0.314669,0.007034,3.1322,3.013232,-5.626062,1.5
-0.115618,-0.305999,0.007139,3.138653,3.054325,-5.60687,1.5
-0.116173,-0.305157,0.007236,3.15095,3.109702,-5.584604,1.5
-0.116668,-0.304961,0.00734,3.161017,3.152946,-5.569048,1.5
-0.117165,-0.307739,0.007445,3.165208,3.161946,-5.572183,1.5
-0.117663,-0.29767,0.007548,3.175233,3.222825,-5.542565,1.5
-0.118162,-0.300501,0.007652,3.177014,3.219779,-5.55188,1.5
-0.118662,-0.300291,0.007755,3.179969,3.227974,-5.553958,1.5
-0.119163,-0.302934,0.007858,3.180932,3.221156,-5.5651,1.5
