q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fx_foot,Fy_foot,Fz_foot,HR_q,HP_q,KP_q,HR_qdot,HP_qdot,KP_qdot,HR_q_d,HP_q_d,KP_q_d,HR_qdot_d,HP_qdot_d,KP_qdot_d,x,y,z,x_d,y_d,z_d
0,0,0,2.81716,1.19663,0.0328149,0,0,0,0,1.83905,-1.59419,0,0,0,0,1.83905,-1.59419,0,0,0,-0.39813,0.1,-0.204263,-0.39813,0.1,-0.204263
0,-0.00165043,0,2.81755,1.21692,-0.096345,0,0,0,0,1.83905,-1.59419,0,0,0,0,1.83905,-1.59419,0,0.000657655,-0.00165043,-0.39813,0.1,-0.204263,-0.39813,0.1,-0.204263
0,-0.00330084,0,2.81794,1.23721,-0.225521,0,0,0,0,1.83905,-1.59419,0,0,0,0,1.83905,-1.59419,0,0.0013153,-0.00330084,-0.39813,0.1,-0.204263,-0.398129,0.1,-0.204263
-1E-05,-0.00495123,0,2.81833,1.25748,-0.354711,0,0,0,0,1.83905,-1.59419,0,0,0,0,1.83905,-1.5942,0,0.00197294,-0.00495123,-0.39813,0.1,-0.204263,-0.398129,0.1,-0.204263
-1E-05,-0.00660156,1E-06,2.81872,1.27775,-0.483915,0,0,0,0,1.83905,-1.59419,0,0,0,0,1.83906,-1.5942,0,0.00263055,-0.00660156,-0.39813,0.1,-0.204263,-0.398127,0.1,-0.204262
-2E-05,-0.00825183,1E-06,2.81912,1.29801,-0.613131,0,0,0,0,1.83905,-1.59419,0,0,0,0,1.83906,-1.59421,0,0.00328814,-0.00825183,-0.39813,0.1,-0.204263,-0.398126,0.1,-0.204262
-3E-05,-0.00990201,2E-06,2.81952,1.31826,-0.742358,0,0,0,0,1.83905,-1.59419,0,0,0,0,1.83906,-1.59422,0,0.0039457,-0.00990201,-0.39813,0.1,-0.204263,-0.398124,0.1,-0.204261
-4E-05,-0.0115521,2E-06,2.81992,1.33851,-0.871595,0,0,0,0,1.83905,-1.59419,0,0,0,0,1.83907,-1.59423,0,0.00460322,-0.0115521,-0.39813,0.1,-0.204263,-0.398122,0.1,-0.204261
-5E-05,-0.0132022,-2.1E-05,2.81839,1.34933,-1.00565,0,0,0,0,1.83911,-1.59419,0,0.000842186,0,0,1.83907,-1.59424,0,0.00526114,-0.0132022,-0.398142,0.1,-0.204239,-0.398119,0.1,-0.20426
-7E-05,-0.0148521,-2.6E-05,2.81745,1.36598,-1.1366,0,0,0,6.02E-05,1.83911,-1.59419,6.02E-05,0.00120312,0,0,1.83908,-1.59426,2.39E-07,0.00591855,-0.0148521,-0.398142,0.100012,-0.204233,-0.398116,0.1,-0.204259
