q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fx_foot,Fy_foot,Fz_foot,HR_q,HP_q,KP_q,HR_qdot,HP_qdot,KP_qdot,HR_q_d,HP_q_d,KP_q_d,HR_qdot_d,HP_qdot_d,KP_qdot_d,x,y,z,x_d,y_d,z_d
0,1.40091,0,2.81955,1.23478,0.0555426,0,0,0,0,1.82563,-1.40091,0,0,0,0,1.82563,-1.40091,0,0,0,-0.448513,0.1,-0.185007,-0.448513,0.1,-0.185007
0,1.39797586,0,2.81953,1.26277,-0.174086,0,0,0,0,1.82563,-1.40091,0,0,0,0,1.82563,-1.40091,0,0.000992363,-0.00293414,-0.448513,0.1,-0.185007,-0.448512,0.1,-0.185007
0,1.39504174,0,2.81951,1.29074,-0.403743,0,0,0,0,1.82563,-1.40091,0,0,0,0,1.82563,-1.40091,0,0.00198472,-0.00586826,-0.448513,0.1,-0.185007,-0.448512,0.1,-0.185007
-1E-05,1.39211768,0,2.81949,1.31869,-0.633427,0,0,0,0,1.82563,-1.40091,0,0,0,0,1.82563,-1.40092,0,0.00297705,-0.00880232,-0.448513,0.1,-0.185007,-0.44851,0.1,-0.185007
-2E-05,1.3891937,0,2.81947,1.34661,-0.863134,0,0,0,0,1.82563,-1.40091,0,0,0,0,1.82564,-1.40093,0,0.00396935,-0.0117363,-0.448513,0.1,-0.185007,-0.448508,0.1,-0.185007
-3E-05,1.3862699,0,2.81944,1.3745,-1.09286,0,0,0,0,1.82563,-1.40091,0,0,0,0,1.82564,-1.40094,0,0.00496162,-0.0146701,-0.448513,0.1,-0.185007,-0.448505,0.1,-0.185007
-5E-05,1.3833561,0,2.81942,1.40238,-1.32261,0,0,0,0,1.82563,-1.40091,0,0,0,0,1.82565,-1.40096,0,0.00595383,-0.0176039,-0.448513,0.1,-0.185007,-0.448502,0.1,-0.185007
-7E-05,1.3804426,0,2.8194,1.43023,-1.55238,0,0,0,0,1.82563,-1.40091,0,0,0,0,1.82565,-1.40098,0,0.00694599,-0.0205374,-0.448513,0.1,-0.185007,-0.448498,0.1,-0.185007
-9E-05,1.3775293,0,2.81938,1.45805,-1.78216,0,0,0,0,1.82563,-1.40091,0,0,0,0,1.82566,-1.401,0,0.00793808,-0.0234707,-0.448513,0.1,-0.185007,-0.448494,0.1,-0.185007
-0.00012,1.3746262,-6E-06,2.81843,1.48485,-2.01229,0,0,0,6.02E-05,1.82563,-1.40091,0.000240624,0,0,0,1.82567,-1.40103,-1.43E-08,0.0089301,-0.0264038,-0.448513,0.100011,-0.185001,-0.448489,0.1,-0.185007
-0.00014,1.3717133,-6E-06,2.81689,1.51077,-2.24273,0,0,0,6.02E-05,1.82563,-1.40091,0.00120312,0,0,0,1.82568,-1.40105,-1.59E-08,0.00992202,-0.0293367,-0.448513,0.100011,-0.185001,-0.448484,0.1,-0.185007
-0.00018,1.36882,-3.9E-05,2.79092,1.49607,-2.48947,0,0,0,0.000120312,1.82569,-1.40091,0.0156406,0.00114297,0,0,1.82569,-1.40109,-3.51E-08,0.010915,-0.03227,-0.448524,0.100022,-0.184968,-0.448477,0.1,-0.185007
-0.00021,1.3659176,-3.9E-05,2.76119,1.48754,-2.73181,0,0,0,0.000120312,1.82569,-1.40091,0.0341687,0.00120312,0,0,1.8257,-1.40112,-3.82E-08,0.0119068,-0.0352024,-0.448524,0.100022,-0.184968,-0.448471,0.1,-0.185007
-0.00025,1.3630257,-4.5E-05,2.76719,1.52286,-2.95891,0,0,0,0.000180468,1.82569,-1.40091,0.0301984,0.00114297,0,0,1.82571,-1.40116,-6.21E-08,0.0128985,-0.0381343,-0.448524,0.100033,-0.184962,-0.448463,0.1,-0.185007
-0.00029,1.3601341,-4.5E-05,2.77145,1.55548,-3.18717,0,0,0,0.000180468,1.82569,-1.40091,0.027371,0.00120312,0,0,1.82573,-1.4012,-6.69E-08,0.0138901,-0.0410659,-0.448524,0.100033,-0.184962,-0.448455,0.1,-0.185007
-0.00027,1.3572441,-6.3E-05,2.74854,1.46721,-3.47581,0,0,0,0.000180468,1.82575,-1.40097,0.0275515,0.0128734,-0.000120312,0,1.82574,-1.40124,-7.17E-08,0.0148813,-0.0439959,-0.448519,0.100033,-0.184944,-0.448447,0.1,-0.185007
-0.00031,1.3543534,-6.4E-05,2.7549,1.49442,-3.70748,0,0,0,0.000180468,1.82575,-1.40097,0.0217164,0.0146179,-0.00120312,0,1.82576,-1.40128,-7.65E-08,0.0158726,-0.0469266,-0.448519,0.100033,-0.184944,-0.448438,0.1,-0.185008
