q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fx_foot,Fy_foot,Fz_foot,HR_q,HP_q,KP_q,HR_qdot,HP_qdot,KP_qdot,HR_q_d,HP_q_d,KP_q_d,HR_qdot_d,HP_qdot_d,KP_qdot_d,x,y,z,x_d,y_d,z_d
0,0,0,2.81992,1.23712,0.0538824,0,0,0,0,1.81556,-1.40474,0,0,0,0,1.81556,-1.40474,0,0,0,-0.445616,0.1,-0.190089,-0.445616,0.1,-0.190089
0,-0.00289375,0,2.82,1.26641,-0.172405,0,0,0,0,1.81556,-1.40474,0,0,0,0,1.81556,-1.40474,0,0.00101745,-0.00289375,-0.445616,0.1,-0.190089,-0.445616,0.1,-0.190089
-1E-05,-0.00578748,0,2.82009,1.29568,-0.398719,0,0,0,0,1.81556,-1.40474,0,0,0,0,1.81556,-1.40475,0,0.00203489,-0.00578748,-0.445616,0.1,-0.190089,-0.445615,0.1,-0.190089
-2E-05,-0.00868115,0,2.82018,1.32493,-0.625058,0,0,0,0,1.81556,-1.40474,0,0,0,0,1.81557,-1.40476,0,0.00305231,-0.00868115,-0.445616,0.1,-0.190089,-0.445614,0.1,-0.190089
-3E-05,-0.0115747,1E-06,2.82027,1.35416,-0.85142,0,0,0,0,1.81556,-1.40474,0,0,0,0,1.81557,-1.40477,0,0.0040697,-0.0115747,-0.445616,0.1,-0.190089,-0.445612,0.1,-0.190088
-4E-05,-0.0144682,1E-06,2.82035,1.38336,-1.0778,0,0,0,0,1.81556,-1.40474,0,0,0,0,1.81557,-1.40478,0,0.00508705,-0.0144682,-0.445616,0.1,-0.190089,-0.445609,0.1,-0.190088
-6E-05,-0.0173615,1E-06,2.82044,1.41254,-1.3042,0,0,0,0,1.81556,-1.40474,0,0,0,0,1.81558,-1.4048,0,0.00610435,-0.0173615,-0.445616,0.1,-0.190089,-0.445606,0.1,-0.190088
-7E-05,-0.0202547,1E-06,2.82053,1.44171,-1.53062,0,0,0,0,1.81556,-1.40474,0,0,0,0,1.81559,-1.40481,0,0.00712159,-0.0202547,-0.445616,0.1,-0.190089,-0.445602,0.1,-0.190088
-0.0001,-0.0231476,1E-06,2.82062,1.47085,-1.75705,0,0,0,0,1.81556,-1.40474,0,0,0,0,1.81559,-1.40484,0,0.00813875,-0.0231476,-0.445616,0.1,-0.190089,-0.445598,0.1,-0.190088
-0.00012,-0.0260404,1E-06,2.82071,1.49996,-1.98349,0,0,0,0,1.81556,-1.40474,0,0,0,0,1.8156,-1.40486,0,0.00915584,-0.0260404,-0.445616,0.1,-0.190089,-0.445593,0.1,-0.190088
