q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fx_foot,Fy_foot,Fz_foot,HR_q,HP_q,KP_q,HR_qdot,HP_qdot,KP_qdot,HR_q_d,HP_q_d,KP_q_d,HR_qdot_d,HP_qdot_d,KP_qdot_d,x,y,z,x_d,y_d,z_d
0,0,0,2.81963,1.236,0.0564854,0,0,0,0,1.82611,-1.39362,0,0,0,0,1.82611,-1.39362,0,0,0,-0.450505,0.1,-0.183667,-0.450505,0.1,-0.183667
0,-0.0029896,0,2.81958,1.26425,-0.177483,0,0,0,0,1.82611,-1.39362,0,0,0,0,1.82611,-1.39362,0,0.00100564,-0.0029896,-0.450505,0.1,-0.183667,-0.450505,0.1,-0.183667
-1E-05,-0.00597917,0,2.81953,1.29248,-0.41148,0,0,0,0,1.82611,-1.39362,0,0,0,0,1.82611,-1.39363,0,0.00201126,-0.00597917,-0.450505,0.1,-0.183667,-0.450504,0.1,-0.183667
-2E-05,-0.00896868,0,2.81948,1.32069,-0.645504,0,0,0,0,1.82611,-1.39362,0,0,0,0,1.82611,-1.39364,0,0.00301687,-0.00896868,-0.450505,0.1,-0.183667,-0.450502,0.1,-0.183667
-3E-05,-0.0119581,0,2.81943,1.34888,-0.879552,0,0,0,0,1.82611,-1.39362,0,0,0,0,1.82612,-1.39365,0,0.00402245,-0.0119581,-0.450505,0.1,-0.183667,-0.4505,0.1,-0.183667
-4E-05,-0.0149474,0,2.81938,1.37704,-1.11362,0,0,0,0,1.82611,-1.39362,0,0,0,0,1.82612,-1.39366,0,0.00502798,-0.0149474,-0.450505,0.1,-0.183667,-0.450498,0.1,-0.183667
-6E-05,-0.0179366,0,2.81933,1.40517,-1.34771,0,0,0,0,1.82611,-1.39362,0,0,0,0,1.82613,-1.39368,0,0.00603347,-0.0179366,-0.450505,0.1,-0.183667,-0.450494,0.1,-0.183667
-7E-05,-0.0209255,0,2.81927,1.43328,-1.58182,0,0,0,0,1.82611,-1.39362,0,0,0,0,1.82613,-1.39369,0,0.0070389,-0.0209255,-0.450505,0.1,-0.183667,-0.45049,0.1,-0.183667
-0.0001,-0.0239149,-3.4E-05,2.81503,1.44601,-1.82352,0,0,0,6.02E-05,1.82617,-1.39362,0.000661717,0.00108281,0,0,1.82614,-1.39372,-3.02E-08,0.00804512,-0.0239149,-0.450516,0.100011,-0.183633,-0.450486,0.1,-0.183667
-0.00012,-0.0269036,-3.4E-05,2.81388,1.47185,-2.05863,0,0,0,6.02E-05,1.82617,-1.39362,0.00120312,0.00120312,0,0,1.82615,-1.39374,-3.39E-08,0.0090505,-0.0269036,-0.450516,0.100011,-0.183633,-0.450481,0.1,-0.183667
-0.00015,-0.0298919,-4E-05,2.80911,1.49457,-2.29451,0,0,0,0.00012,1.82617,-1.39362,0.0039703,0.00114297,0,0,1.82616,-1.39377,-7.54E-08,0.0100558,-0.0298919,-0.450516,0.100022,-0.183627,-0.450475,0.1,-0.183667
-0.00018,-0.0328808,-6.7E-05,2.75651,1.3897,-2.58947,0,0,0,0.000120312,1.82623,-1.39362,0.026589,0.0098656,0,0,1.82617,-1.3938,-8.3E-08,0.0110622,-0.0328808,-0.450527,0.100022,-0.1836,-0.450469,0.1,-0.183667
-0.00022,-0.0358686,-6.7E-05,2.74059,1.33447,-2.86655,0,0,0,0.000120312,1.82623,-1.39362,0.0259874,0.0184078,0,0,1.82618,-1.39384,-9.05E-08,0.0120674,-0.0358686,-0.450527,0.100022,-0.1836,-0.450462,0.1,-0.183667
-0.00025,-0.0388561,-7.4E-05,2.74544,1.37409,-3.09538,0,0,0,0.000180468,1.82623,-1.39362,0.0236414,0.0176257,0,0,1.82619,-1.39387,-1.47E-07,0.0130725,-0.0388561,-0.450527,0.100033,-0.183594,-0.450455,0.1,-0.183668
-0.00029,-0.0418432,-7.4E-05,2.74588,1.40303,-3.32923,0,0,0,0.000180468,1.82623,-1.39362,0.0231601,0.0176257,0,0,1.82621,-1.39391,-1.58E-07,0.0140774,-0.0418432,-0.450527,0.100033,-0.183594,-0.450447,0.1,-0.183668
-0.00034,-0.0448298,-7.4E-05,2.75081,1.45637,-3.55033,0,0,0,0.000180468,1.82623,-1.39362,0.0232203,0.015039,0,0,1.82622,-1.39396,-1.7E-07,0.0150822,-0.0448298,-0.450527,0.100033,-0.183594,-0.450438,0.1,-0.183668
-0.00038,-0.047816,-7.4E-05,2.76291,1.52276,-3.76604,0,0,0,0.000180468,1.82623,-1.39362,0.0193101,0.0119109,0,0,1.82624,-1.394,-1.81E-07,0.0160869,-0.047816,-0.450527,0.100033,-0.183594,-0.450429,0.1,-0.183668
-0.00043,-0.0508018,-7.4E-05,2.77439,1.57979,-3.92591,0,0,0,0.000180468,1.82623,-1.39362,0.0143773,0.00992576,0,0,1.82625,-1.39405,-1.92E-07,0.0170914,-0.0508018,-0.450527,0.100033,-0.183594,-0.450419,0.1,-0.183668
-0.00049,-0.053787,-7.4E-05,2.78133,1.62666,-3.92432,0,0,0,0.000180468,1.82623,-1.39362,0.0116101,0.00854217,0,0,1.82627,-1.39411,-2.04E-07,0.0180957,-0.053787,-0.450527,0.100033,-0.183594,-0.450409,0.1,-0.183668
-0.00054,-0.0567717,-7.5E-05,2.78628,1.66877,-3.9249,0,0,0,0.000180468,1.82623,-1.39362,0.00974529,0.00745936,0,0,1.82629,-1.39416,-2.15E-07,0.0190999,-0.0567717,-0.450527,0.100033,-0.183594,-0.450398,0.1,-0.183669
-0.00054,-0.059391763,-6.5E-05,2.79042,1.71073,-3.92491,0,0,0,0.000180468,1.82623,-1.39368,0.0083617,0.00661717,-0.000360937,0,1.82631,-1.39422,-2.26E-07,0.0201014,-0.0597527,-0.450511,0.100033,-0.183604,-0.450386,0.1,-0.183669
-0.0006,-0.06153298,-6.5E-05,2.79383,1.75122,-3.92584,0,0,0,0.000180468,1.82623,-1.39368,0.00733905,0.00595545,-0.00120312,0,1.82633,-1.39428,-2.37E-07,0.021105,-0.0627361,-0.450511,0.100033,-0.183604,-0.450374,0.1,-0.183669
-0.00066,-0.06451578,-6.5E-05,2.79604,1.78581,-3.92997,0,0,0,0.000180468,1.82623,-1.39368,0.00655702,0.00541405,-0.00120312,0,1.82635,-1.39434,-2.49E-07,0.0221084,-0.0657189,-0.450511,0.100033,-0.183604,-0.450361,0.1,-0.183669
-0.00067,-0.0483646,-5.7E-05,2.81077,1.91715,-3.879,0,0,0,0.000180468,1.82623,-1.39374,0.0058953,0.00499296,-0.0203328,0,1.82637,-1.39441,-2.6E-07,0.0231088,-0.0686974,-0.450496,0.100033,-0.183613,-0.450348,0.1,-0.18367
-0.00074,-0.0474959,-5.7E-05,2.81499,1.96959,-3.87295,0,0,0,0.000180468,1.82623,-1.39374,0.00535389,0.00457186,-0.0241828,0,1.8264,-1.39448,-2.71E-07,0.0241117,-0.0716787,-0.450496,0.100033,-0.183613,-0.450334,0.1,-0.18367
-0.00076,-0.0419305,-4.8E-05,2.82201,2.04547,-3.8531,0,0,0,0.000180468,1.82623,-1.3938,0.0049328,0.00427108,-0.0327249,0,1.82642,-1.39456,-2.83E-07,0.0251112,-0.0746554,-0.45048,0.100033,-0.183622,-0.450319,0.1,-0.18367
-0.00077,-0.0445451,-3.8E-05,2.82363,2.07999,-3.85669,0,0,0,0.000180468,1.82623,-1.39386,0.00451171,0.0039703,-0.0330859,0,1.82645,-1.39463,-2.94E-07,0.0261103,-0.077631,-0.450464,0.100033,-0.183632,-0.450304,0.1,-0.18367
