q_err_KP,qdot_err_KP,Tor_HR,Tor_HP,Tor_KP,z_error,Fx_foot,Fy_foot,Fz_foot,IMU_Roll,IMU_Pitch,IMU_Yaw
-0.00256,-0.1100432,2.83105,2.76515,-4.02834,2.2E-05,0,0,0,0.00836062,0.0330235,-0.887984
-0.00265,-0.1118495,2.83205,2.76641,-4.03205,3.2E-05,0,0,0,0.00836062,0.0330235,-0.887984
-0.00274,-0.1147377,2.83242,2.76241,-4.03887,4.2E-05,0,0,0,0.00836062,0.0330235,-0.887984
-0.0029,-0.1199177,2.83107,2.74552,-4.05339,4.4E-05,0,0,0,0.00836062,0.0330235,-0.887984
-0.003,-0.1218394,2.832,2.74613,-4.05751,5.4E-05,0,0,0,0.00836062,0.0330235,-0.887984
-0.00316,-0.1241892,2.83281,2.74518,-4.06309,5.5E-05,0,0,0,0.00836062,0.0330235,-0.887984
-0.00326,-0.1294154,2.83323,2.7374,-4.07251,6.5E-05,0,0,0,0.00836062,0.0330235,-0.887984
-0.00337,-0.1255571,2.83918,2.77401,-4.05661,7.6E-05,0,0,0,0.00836062,0.0330235,-0.887984
-0.00348,-0.1259077,2.8423,2.78841,-4.05335,8.6E-05,0,0,0,0.00836062,0.0330235,-0.887984
-0.00365,-0.1311971,2.8418,2.77554,-4.06595,8.7E-05,0,0,0,0.00836062,0.0330235,-0.887984
-0.00377,-0.1311827,2.84476,2.78976,-4.06261,9.8E-05,0,0,0,0.00836062,0.0330235,-0.887984
-0.00387,-0.1335726,2.84591,2.79085,-4.06683,0.000108,0,0,0,0.00836062,0.0330235,-0.887984
-0.00399,-0.1346973,2.84796,2.79831,-4.06741,0.000119,0,0,0,0.00836062,0.0330235,-0.887984
-0.00412,-0.1352785,2.85025,2.80835,-4.06651,0.000129,0,0,0,0.00836062,0.0330235,-0.887984
-0.00424,-0.1380223,2.85092,2.80635,-4.07244,0.00014,0,0,0,0.00836062,0.0330235,-0.887984
-0.00443,-0.1363838,2.8545,2.82585,-4.06657,0.000141,0,0,0,0.00836062,0.0330235,-0.887984
-0.00457,-0.1417705,2.85342,2.81032,-4.08012,0.000152,0,0,0,0.00836062,0.0330235,-0.887984
-0.0047,-0.1423427,2.8555,2.81917,-4.07992,0.000162,0,0,0,0.00836062,0.0330235,-0.887984
-0.00484,-0.1405067,2.85908,2.83952,-4.07313,0.000173,0,0,0,0.00836062,0.0330235,-0.887984
-0.00498,-0.1382476,2.86283,2.86185,-4.0652,0.000182,0,0,0,0.00836062,0.0330235,-0.887984
-0.00512,-0.1498815,2.85771,2.81457,-4.09704,0.000193,0,0,0,0.00836062,0.0330235,-0.887984
-0.00527,-0.1380536,2.86767,2.88488,-4.06176,0.000204,0,0,0,0.00836062,0.0330235,-0.887984
-0.00542,-0.1582849,2.85706,2.79448,-4.11826,0.000214,0,0,0,0.00836062,0.0330235,-0.887984
-0.00557,-0.143023,2.86911,2.88181,-4.07326,0.000225,0,0,0,0.00836062,0.0330235,-0.887984
-0.00572,-0.1532644,2.86476,2.8408,-4.10155,0.000236,0,0,0,0.00836062,0.0330235,-0.887984
-0.00582,-0.1582592,2.86397,2.82724,-4.11376,0.000255,0,0,0,0.00836062,0.0330235,-0.887984
-0.00598,-0.1559831,2.86779,2.84973,-4.10601,0.000266,0,0,0,0.00836062,0.0330235,-0.887984
