KP_q_error,KP_q_dot_error,z_error,HR_Torque,HP_Torque,KP_Torque,Fx,Fy,Fz,HR_q,HP_q,KP_q,HR_qdot,HP_qdot,KP_qdot,HR_q_d,HP_q_d,KP_q_d,HR_qdot_d,HP_qdot_d,KP_qdot_d,x,y,z,x_d,y_d,z_d
0,0,0,2.81985,1.23681,0.0543097,0,0,0,0,1.81758,-1.40321,0,0,0,0,1.81758,-1.40321,0,0,0,-0.446402,0.1,-0.18896,-0.446402,0.1,-0.18896
0,-0.00290739,0,2.81992,1.26587,-0.17308,0,0,0,0,1.81758,-1.40321,0,0,0,0,1.81758,-1.40321,0,0.00101385,-0.00290739,-0.446402,0.1,-0.18896,-0.446402,0.1,-0.18896
0,-0.00581476,0,2.81998,1.29491,-0.400497,0,0,0,0,1.81758,-1.40321,0,0,0,0,1.81758,-1.40321,0,0.00202769,-0.00581476,-0.446402,0.1,-0.18896,-0.446401,0.1,-0.18896
-1E-05,-0.00872206,0,2.82004,1.32392,-0.62794,0,0,0,0,1.81758,-1.40321,0,0,0,0,1.81758,-1.40322,0,0.00304151,-0.00872206,-0.446402,0.1,-0.18896,-0.4464,0.1,-0.18896
-2E-05,-0.0116293,0,2.82011,1.35292,-0.855405,0,0,0,0,1.81758,-1.40321,0,0,0,0,1.81758,-1.40323,0,0.0040553,-0.0116293,-0.446402,0.1,-0.18896,-0.446398,0.1,-0.18896
-4E-05,-0.0145364,0,2.82017,1.38189,-1.08289,0,0,0,0,1.81758,-1.40321,0,0,0,0,1.81759,-1.40325,0,0.00506906,-0.0145364,-0.446402,0.1,-0.18896,-0.446395,0.1,-0.18896
-5E-05,-0.0174433,0,2.82023,1.41084,-1.3104,0,0,0,0,1.81758,-1.40321,0,0,0,0,1.81759,-1.40326,0,0.00608276,-0.0174433,-0.446402,0.1,-0.18896,-0.446392,0.1,-0.18896
-7E-05,-0.0203501,0,2.8203,1.43977,-1.53792,0,0,0,0,1.81758,-1.40321,0,0,0,0,1.8176,-1.40328,0,0.0070964,-0.0203501,-0.446402,0.1,-0.18896,-0.446388,0.1,-0.18896
-9E-05,-0.0232567,0,2.82036,1.46868,-1.76545,0,0,0,0,1.81758,-1.40321,0,0,0,0,1.81761,-1.4033,0,0.00810997,-0.0232567,-0.446402,0.1,-0.18896,-0.446384,0.1,-0.18896
-0.00012,-0.0261631,-6E-06,2.81799,1.49483,-1.99392,0,0,0,6.02E-05,1.81758,-1.40321,0.00114297,0,0,0,1.81762,-1.40333,4.19E-08,0.00912345,-0.0261631,-0.446402,0.100011,-0.188954,-0.446379,0.1,-0.18896
