q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fx_foot,Fy_foot,Fz_foot,HR_q,HP_q,KP_q,HR_qdot,HP_qdot,KP_qdot,HR_q_d,HP_q_d,KP_q_d,HR_qdot_d,HP_qdot_d,KP_qdot_d,x,y,z,x_d,y_d,z_d
-0.0006,-0.037936,-4.8E-05,2.81685,1.94833,-3.85154,0,0,0,0.000180468,1.82863,-1.39917,0.00553436,0.00535389,-0.0298976,0,1.82877,-1.39977,-2.88E-07,0.0226789,-0.0678336,-0.449519,0.100033,-0.183376,-0.449388,0.1,-0.183424
-0.00067,-0.0359471,-4.8E-05,2.82168,2.00548,-3.84241,0,0,0,0.000180468,1.82863,-1.39917,0.00505311,0.0049328,-0.0348304,0,1.82879,-1.39984,-3E-07,0.0236631,-0.0707775,-0.449519,0.100033,-0.183376,-0.449374,0.1,-0.183424
-0.00068,-0.0343144,-3.9E-05,2.82616,2.06155,-3.83332,0,0,0,0.000180468,1.82863,-1.39923,0.00469218,0.00451171,-0.0394023,0,1.82881,-1.39991,-3.13E-07,0.024644,-0.0737167,-0.449503,0.100033,-0.183385,-0.44936,0.1,-0.183424
-0.0007,-0.0345456,-2.9E-05,2.82923,2.10718,-3.83021,0,0,0,0.000180468,1.82863,-1.39929,0.00433124,0.00421093,-0.0421093,0,1.82884,-1.39999,-3.25E-07,0.0256244,-0.0766549,-0.449488,0.100033,-0.183395,-0.449345,0.1,-0.183424
-0.00072,-0.0340538,-2.1E-05,2.83268,2.15625,-3.8251,0,0,0,0.000180468,1.82863,-1.39935,0.00403046,0.00391015,-0.0455382,0,1.82886,-1.40007,-3.38E-07,0.0266044,-0.079592,-0.449472,0.100033,-0.183404,-0.449329,0.1,-0.183425
-0.0008,-0.0330841,-2.1E-05,2.8361,2.20589,-3.82008,0,0,0,0.000180468,1.82863,-1.39935,0.00378983,0.00366952,-0.0494483,0,1.82889,-1.40015,-3.5E-07,0.0275872,-0.0825324,-0.449472,0.100033,-0.183404,-0.449313,0.1,-0.183425
-0.00082,-0.0384855,-1.3E-05,2.83523,2.22363,-3.83254,0,0,0,0.000180468,1.82863,-1.39941,0.00354921,0.00348905,-0.0469819,0,1.82892,-1.40023,-3.63E-07,0.0285663,-0.0854674,-0.449456,0.100033,-0.183413,-0.449296,0.1,-0.183426
-0.00085,-0.0407577,-4E-06,2.83644,2.25726,-3.83612,0,0,0,0.000180468,1.82863,-1.39947,0.00336874,0.00330859,-0.0476436,0,1.82895,-1.40032,-3.75E-07,0.0295448,-0.0884013,-0.44944,0.100033,-0.183422,-0.449279,0.1,-0.183426
-0.00088,-0.0379755,6E-06,2.84098,2.31629,-3.82527,0,0,0,0.000180468,1.82863,-1.39953,0.00318827,0.00312812,-0.0533585,0,1.82898,-1.40041,-3.88E-07,0.0305228,-0.091334,-0.449425,0.100033,-0.183432,-0.449261,0.1,-0.183426
-0.00091,-0.0430728,1.4E-05,2.84028,2.33553,-3.837,0,0,0,0.000180468,1.82863,-1.39959,0.00300781,0.00294765,-0.0511928,0,1.82901,-1.4005,-4E-07,0.0315002,-0.0942656,-0.449409,0.100033,-0.183441,-0.449242,0.1,-0.183427
